"Hash","LongName","McCC","CLOC","PDA","PUA","LLOC","LOC","Number of Bugs"
"5dc3c9b2bd6c92a6ee239ea3a63d43ddbd53e741","src/main/java/org/mapdb/HTreeMap.java","247","0","7","19","1306","1759","0"
"5dc3c9b2bd6c92a6ee239ea3a63d43ddbd53e741","src/main/java/org/mapdb/SerializerBase.java","217","0","1","8","1636","2128","0"
"ae28170d07376d7465fd7006f7829325d24dfd98","src/test/java/org/mapdb/VolumeTest.java","16","0","0","21","207","260","2"
"4e428b3d514575952aa0decb2607f9a6950d4e39","src/main/java/org/mapdb/DBMaker.java","27","0","32","1","247","643","1"
"d9b73c45511ef0b8c33beb61fc4aee5d635a6d32","src/test/java/org/mapdb/EngineWrapper_ImmutabilityCheckEngine.java","3","0","0","2","30","40","2"
"c6b651ded7e972c588607f0fcfc9097d2ce106c7","src/main/java/org/mapdb/DataInput2.java","2","0","1","17","89","134","1"
"36ab1106f61744c7e9553c22edc4e885089fc5ed","src/main/java/org/mapdb/CompressLZF.java","34","0","1","3","151","334","1"
"72649e80593c3f1fa476c951397a2c9dca467a9c","src/main/java/org/mapdb/StoreDirect.java","252","0","0","25","1031","1425","1"
"47c4f06186a05fdc9c66523857e7c54a87719ff5","src/main/java/org/mapdb/Storage.java","32","0","1","7","203","316","1"
"6024b7facfb4b4de6c39523da3241d253f166232","src/test/java/org/mapdb/IssuesTest.java","4","0","0","6","72","88","1"
"7f9c154a1b82c42aa0cf590f740b4088fa58e647","src/main/java/org/mapdb/HTreeMap.java","352","0","6","36","1771","2346","1"
"675f2336bbd18a65b28e42f36ca1f440c92e41e2","src/main/java/org/mapdb/StoreWAL.java","188","0","1","13","947","1241","2"
"7b803345bed27933c1f0e5b493e7c70d9343419b","src/main/java/org/mapdb/StoreDirect.java","128","0","1","25","773","1149","2"
"7041a7d4fb7ad6f41fc486628c4ba96c4dd2486a","src/test/java/org/mapdb/FunTest.java","17","0","0","8","81","109","1"
"c6b651ded7e972c588607f0fcfc9097d2ce106c7","src/test/java/org/mapdb/SerializerPojoTest.java","19","0","0","18","171","301","1"
"a86151e6a26c06b7c00ec9d42a181cf0506b3eb3","src/test/java/org/mapdb/StoreDirectTest.java","37","0","3","19","413","753","2"
"9c827618d17a0284836cb6b035fbd11d9535b540","src/test/java/org/mapdb/BTreeMapTest.java","14","0","0","16","192","248","1"
"939644c06afd0fad14c8a3c6287b2538fce85964","src/main/java/org/mapdb/Store.java","24","0","5","5","159","220","1"
"0392d2fca4cf02f7013a84d7acd703c4b5a0f99c","src/test/java/org/mapdb/VolumeTest.java","19","0","0","2","253","344","2"
"0392d2fca4cf02f7013a84d7acd703c4b5a0f99c","src/main/java/org/mapdb/Fun.java","59","0","12","20","310","442","2"
"443379a6869dc870eb0633aa14460acd8d2b1959","src/test/java/org/mapdb/StoreWALTest.java","3","0","0","4","64","85","1"
"72649e80593c3f1fa476c951397a2c9dca467a9c","src/main/java/org/mapdb/UnsafeStuff.java","28","0","0","0","433","615","1"
"55880c0c4cd50b52b40f956e8ca9d06d20302144","src/main/java/org/mapdb/Volume.java","85","0","10","75","661","905","2"
"939644c06afd0fad14c8a3c6287b2538fce85964","src/main/java/org/mapdb/TxMaker.java","30","0","2","3","221","298","1"
"6459ff23dbff54b165ad21be661a95c90ec26654","src/main/java/org/mapdb/AsyncWriteEngine.java","41","0","2","8","197","287","1"
"4b0c7f416c77fea4953f210a449bfdd05a9d251b","src/main/java/org/mapdb/BTreeMap.java","443","0","5","42","2054","2737","1"
