"Hash","LongName","McCC","CLOC","PDA","PUA","LLOC","LOC","Number of Bugs"
"00093a21dccf9599e28d18c20b6824c5a47ff90d","core/src/main/java/org/elasticsearch/index/search/MultiMatchQuery.java","37","0","0","17","218","272","0"
"00093a21dccf9599e28d18c20b6824c5a47ff90d","core/src/main/java/org/apache/lucene/queries/BlendedTermQuery.java","54","0","1","10","289","372","0"
"00093a21dccf9599e28d18c20b6824c5a47ff90d","core/src/test/java/org/elasticsearch/index/query/SimpleIndexQueryParserTests.java","21","0","3","176","2174","2484","0"
"001a6b0ff7a9f2185617cc3dd9dfe76e1cc04162","modules/test/integration/src/test/java/org/elasticsearch/test/integration/indices/settings/UpdateNumberOfReplicasTests.java","5","0","1","5","184","245","0"
"001a6b0ff7a9f2185617cc3dd9dfe76e1cc04162","modules/elasticsearch/src/main/java/org/elasticsearch/cluster/metadata/MetaDataUpdateSettingsService.java","27","0","1","6","153","210","0"
"001a6b0ff7a9f2185617cc3dd9dfe76e1cc04162","modules/elasticsearch/src/main/java/org/elasticsearch/index/field/function/sort/StringFieldsFunctionDataComparator.java","7","0","1","9","74","118","0"
"001a6b0ff7a9f2185617cc3dd9dfe76e1cc04162","modules/elasticsearch/src/main/java/org/elasticsearch/index/search/geo/GeoDistanceDataComparator.java","9","0","1","8","117","177","0"
"001a6b0ff7a9f2185617cc3dd9dfe76e1cc04162","modules/elasticsearch/src/main/java/org/elasticsearch/index/field/function/sort/DoubleFieldsFunctionDataComparator.java","5","0","1","9","70","113","0"
"00275ac1d62cb113d004f49ee876cfae4aba820b","src/main/java/org/elasticsearch/index/indexing/ShardIndexingService.java","38","0","2","21","252","319","0"
"00275ac1d62cb113d004f49ee876cfae4aba820b","src/main/java/org/elasticsearch/index/shard/service/InternalIndexShard.java","107","0","6","64","874","1054","0"
"00665663575b3d42bd3beeb6b3b558ffdb9e7306","src/test/java/org/elasticsearch/test/integration/search/query/SimpleQueryTests.java","21","0","1","32","1174","1469","0"
"00665663575b3d42bd3beeb6b3b558ffdb9e7306","src/main/java/org/elasticsearch/indices/cache/filter/terms/TermsLookup.java","1","0","1","8","43","78","0"
"00665663575b3d42bd3beeb6b3b558ffdb9e7306","src/main/java/org/elasticsearch/indices/cache/filter/terms/IndicesTermsFilterCache.java","16","0","2","3","149","207","0"
"00665663575b3d42bd3beeb6b3b558ffdb9e7306","src/main/java/org/elasticsearch/index/query/TermsFilterParser.java","74","0","1","4","250","302","0"
"009731c9e741f8977f5a1eb3c9539c4acb60b92b","src/main/java/org/elasticsearch/rest/action/admin/indices/mapping/get/RestGetMappingAction.java","16","0","1","2","100","141","0"
"009731c9e741f8977f5a1eb3c9539c4acb60b92b","src/main/java/org/elasticsearch/rest/action/admin/indices/settings/RestGetSettingsAction.java","7","0","0","3","78","115","0"
"009fa6465744c2f7026fac851fbee6e53d5000be","core/src/main/java/org/elasticsearch/index/mapper/MappedFieldType.java","59","0","16","38","370","501","2"
"009fa6465744c2f7026fac851fbee6e53d5000be","core/src/test/java/org/elasticsearch/index/mapper/FieldTypeLookupTests.java","4","0","1","9","163","207","1"
"009fa6465744c2f7026fac851fbee6e53d5000be","core/src/main/java/org/elasticsearch/index/mapper/DocumentParser.java","156","0","0","0","651","776","4"
"009fa6465744c2f7026fac851fbee6e53d5000be","core/src/main/java/org/elasticsearch/index/mapper/FieldTypeLookup.java","24","0","0","0","119","185","1"
"009fa6465744c2f7026fac851fbee6e53d5000be","core/src/test/java/org/elasticsearch/search/child/ParentFieldLoadingIT.java","3","0","0","3","125","175","2"
"00a8b8799f6b7de803bc8afeaf7de392f3d0d28c","core/src/main/java/org/elasticsearch/monitor/os/OsProbe.java","34","0","4","5","264","478","0"
"00a8b8799f6b7de803bc8afeaf7de392f3d0d28c","core/src/test/java/org/elasticsearch/monitor/os/OsProbeTests.java","11","0","0","5","166","221","0"
"00a9811f02da7d3ac05316a106312cfc2e3d1a33","modules/reindex/src/test/java/org/elasticsearch/index/reindex/ReindexParentChildTests.java","5","0","2","3","130","204","0"
"00a9811f02da7d3ac05316a106312cfc2e3d1a33","modules/reindex/src/test/java/org/elasticsearch/index/reindex/DeleteByQueryBasicTests.java","9","0","1","10","187","273","0"
"00c035f88c1a161ea831c6a7d28d421a5d50a38c","src/main/java/org/elasticsearch/action/admin/indices/cache/clear/TransportClearIndicesCacheAction.java","18","0","1","1","136","184","1"
"00c035f88c1a161ea831c6a7d28d421a5d50a38c","src/test/java/org/elasticsearch/test/integration/indices/cache/CacheTests.java","1","0","1","4","79","119","0"
"00c13532a91b947eaac05fb0d53596d51e11fa9f","src/main/java/org/elasticsearch/search/highlight/FastVectorHighlighter.java","24","0","1","3","126","177","0"
"00c13532a91b947eaac05fb0d53596d51e11fa9f","src/test/java/org/elasticsearch/test/integration/search/highlight/HighlighterSearchTests.java","26","0","1","31","1078","1371","0"
"00c13532a91b947eaac05fb0d53596d51e11fa9f","src/main/java/org/elasticsearch/search/highlight/vectorhighlight/SourceSimpleFragmentsBuilder.java","3","0","1","1","47","82","0"
"00d54fabb259a21e98441f58c04b86b7f13a3a71","src/main/java/org/elasticsearch/indices/recovery/RecoveriesCollection.java","15","0","11","3","143","234","2"
"00d54fabb259a21e98441f58c04b86b7f13a3a71","src/test/java/org/elasticsearch/indices/cache/query/IndicesQueryCacheTests.java","3","0","1","1","42","76","0"
"00d54fabb259a21e98441f58c04b86b7f13a3a71","src/main/java/org/elasticsearch/indices/cache/query/IndicesQueryCache.java","36","0","3","13","333","460","0"
