"Hash","LongName","McCC","CLOC","PDA","PUA","LLOC","LOC","Number of Bugs"
"982a75011a074ab25f2c96a1c2639c5b1ebb3b18","src/test/java/org/junit/tests/running/classes/ParameterizedTestTest.java","1","0","0","35","178","217","1"
"e012e06dc326394a3a834d974e9af3fea0e6df91","src/test/java/org/junit/tests/experimental/theories/extendingwithstubs/StubbedTheories.java","4","0","0","5","53","67","1"
"d3de6079892fa89aa46386c0369a29b4ef9e9e3c","src/test/java/org/junit/tests/AllTests.java","1","0","1","1","147","153","4"
"ed2b51b0c78a079f806ea9157f77f83705f8e04b","src/main/java/org/junit/internal/InexactComparisonCriteria.java","2","0","0","2","15","19","1"
"41d44734f41aba0cf6ba5a11ff5d32ffed155027","src/main/java/org/junit/runners/model/MultipleFailureException.java","4","0","2","3","34","70","1"
"e012e06dc326394a3a834d974e9af3fea0e6df91","src/test/java/org/junit/tests/experimental/theories/internal/AllMembersSupplierTest.java","1","0","0","11","62","75","1"
"aea63f059d16607879e5710098fdab208d6d5cb0","src/test/java/org/junit/tests/running/classes/ParentRunnerTest.java","1","0","0","13","126","151","1"
"e012e06dc326394a3a834d974e9af3fea0e6df91","src/main/java/org/junit/experimental/theories/ParameterSupplier.java","1","0","0","2","5","8","1"
"bcf4785a8ae0ad21ffefd80dcfbb360621d98806","src/main/java/org/junit/Assert.java","21","0","43","0","225","784","2"
"0c114780df6a4f096493730dd004bccd44b13e15","src/test/java/org/junit/tests/running/classes/ParentRunnerTest.java","1","0","0","10","94","114","2"
"d50032d673544330fcaa68b5476a5dc99df9633d","src/main/java/org/junit/runner/Computer.java","1","0","3","0","21","43","1"
"ee4403455a9573a67668da695fea223f77606326","src/main/java/org/junit/runners/Suite.java","3","0","5","0","65","131","1"
"e012e06dc326394a3a834d974e9af3fea0e6df91","src/main/java/org/junit/experimental/theories/DataPoint.java","1","0","0","1","11","15","1"
"e012e06dc326394a3a834d974e9af3fea0e6df91","src/test/java/org/junit/tests/experimental/theories/runner/WithDataPointMethod.java","1","0","0","22","112","142","1"
"8440169a16f2eec18a869dc5804e3686aafb25d8","src/main/java/org/junit/runners/ParentRunner.java","22","0","5","2","213","384","1"
"e012e06dc326394a3a834d974e9af3fea0e6df91","src/test/java/org/junit/tests/experimental/theories/AssumingInTheoriesTest.java","1","0","1","4","36","48","1"
"34d2943cef583ecb34cc182b79dbb4af0c778b3f","src/main/java/org/junit/experimental/theories/suppliers/TestedOnSupplier.java","2","0","0","2","18","24","1"
"3aca014a2c39723febbe7def2fd132da80c3f4a9","src/main/java/org/junit/experimental/theories/Theories.java","16","0","0","6","180","213","2"
"61f06547599bb6b98bca99d5bc457eb20bc17cab","src/main/java/org/junit/rules/TestWatcher.java","2","0","1","1","30","92","0"
"6a8215ab69317916807f246daef80a9d4cf5dc8e","src/main/java/org/junit/experimental/theories/internal/AllMembersSupplier.java","17","0","2","1","100","127","2"
"5ded3d3231891402e07a208941d263aaf3379134","src/test/java/org/junit/tests/AllTests.java","1","0","1","1","152","158","3"
"2d13004b3fbba2fe6ed919bbc98f2e3f69bb4809","src/test/java/org/junit/tests/experimental/rules/ExpectedExceptionRuleTest.java","1","0","0","36","191","233","1"
"ee4403455a9573a67668da695fea223f77606326","src/test/java/org/junit/tests/junit3compatibility/AllJUnit3CompatibilityTests.java","1","0","0","1","18","21","1"
"d3de6079892fa89aa46386c0369a29b4ef9e9e3c","src/main/java/org/junit/runner/manipulation/Filter.java","5","0","5","0","40","82","1"
