"Hash","LongName","McCC","CLOC","PDA","PUA","LLOC","LOC","Number of Bugs"
"3fe9cfee74b1313c6f88b46a92a6e947ec101f60","src/main/java/com/gmail/nossr50/commands/party/PartyJoinCommand.java","12","0","0","2","69","94","1"
"b3cd5486d60d6092cb25fc7ccf39c4d6624a24f2","src/main/java/com/gmail/nossr50/skills/taming/TrackedTamingEntity.java","5","0","0","2","55","70","0"
"56b57da077e28b83eaf2c53c7af191d1451ef010","src/main/java/com/gmail/nossr50/util/HardcoreManager.java","13","0","2","3","85","125","0"
"8dfa8c20f32e391c3d299abc51514a6601ed6e80","src/main/java/com/gmail/nossr50/skills/taming/TamingManager.java","34","0","7","2","169","269","4"
"b4637a825eb91b9425f7a72d4393b9700fb12b44","src/main/java/com/gmail/nossr50/listeners/mcEntityListener.java","41","0","1","6","155","263","1"
"4889769522d0daba523cd1785f3dc488dacf4aa3","src/main/java/com/gmail/nossr50/datatypes/player/McMMOPlayer.java","61","0","25","61","539","869","0"
"385fe1bb053cbaf2e2d74e0ebc9fc104efb35012","src/main/java/com/gmail/nossr50/listeners/InventoryListener.java","64","0","0","12","275","359","0"
"ae8b70be0f984e3a0a3283dc4059d66f86116843","src/main/java/com/gmail/nossr50/listeners/InventoryListener.java","28","0","0","8","117","151","0"
"4210920c5f30dec16b7b5e4e1ee2d07c2b352993","src/main/java/com/gmail/nossr50/skills/fishing/FishingManager.java","41","0","6","3","191","304","1"
"8993c715771eb7d8e38cb700026927852e63cd2a","src/main/java/com/gmail/nossr50/commands/party/teleport/PtpAcceptCommand.java","10","0","0","2","53","65","1"
"fb8592495d54013325bf73a1bee771ec242d9315","src/main/java/com/gmail/nossr50/datatypes/database/UpgradeType.java","1","0","0","1","10","12","1"
"36ae84eadaa74f0c161acb7b136d2aacad919011","src/main/java/com/gmail/nossr50/skills/repair/config/RepairConfig.java","32","0","0","2","125","162","0"
"87ac1002de7e3c0dd3bf4f89bdebbfd2c62c3f30","src/main/java/com/gmail/nossr50/skills/taming/TamingManager.java","30","0","7","12","190","285","1"
"c10525ada9ed2c0b77c518089a300e3b4e32e7c1","src/main/java/com/gmail/nossr50/runnables/database/SQLDatabaseKeepaliveTask.java","2","0","1","2","19","40","1"
"8dfa8c20f32e391c3d299abc51514a6601ed6e80","src/main/java/com/gmail/nossr50/skills/swords/SerratedStrikesEventHandler.java","1","0","0","1","20","26","4"
"7e67505dfbc714b85abe4b7b762e245f2b173c75","src/main/java/com/gmail/nossr50/runnables/commands/MctopCommandAsyncTask.java","1","0","0","3","24","34","1"
"70231b6ae0c1807324ad9bd9ccdea88c1b2357ab","src/main/java/com/gmail/nossr50/config/mods/CustomArmorConfig.java","10","0","0","4","75","95","1"
"c10525ada9ed2c0b77c518089a300e3b4e32e7c1","src/main/java/com/gmail/nossr50/api/ExperienceAPI.java","13","0","51","2","284","984","1"
"340c47eebdd5a7e0cf627b967fea7cca7f9d424f","src/main/java/com/gmail/nossr50/party/commands/PartyCreateCommand.java","7","0","0","2","47","62","0"
"de46277bea12139cd7e963b481c0cfd30b5b8955","src/main/java/com/gmail/nossr50/mcMMO.java","24","0","2","16","282","379","1"
"fcb8909a54feee462d17b59566323721e0e1b8e6","src/main/java/com/gmail/nossr50/config/Config.java","63","0","29","107","341","502","1"
"98b98256b794af72965f40a1b1166037d50189e7","src/main/java/com/gmail/nossr50/skills/fishing/FishingManager.java","75","0","6","9","357","531","1"
"f096e915cf4bc1b330deb9e3bab39f8c63612cf7","src/main/java/com/gmail/nossr50/commands/party/alliance/PartyAllianceCommand.java","14","0","0","3","108","137","1"
"037022b175407ef7373ed0172adf0f8aba2d7ce3","src/main/java/com/gmail/nossr50/listeners/PlayerListener.java","117","0","15","3","461","715","1"
"254f3b5ac9da8b376605e45861ae3148bfc42e7c","src/main/java/com/gmail/nossr50/skills/alchemy/AlchemyPotionBrewer.java","43","0","0","8","178","229","1"
"8dfa8c20f32e391c3d299abc51514a6601ed6e80","src/main/java/com/gmail/nossr50/listeners/EntityListener.java","65","0","8","2","258","384","1"
"b4637a825eb91b9425f7a72d4393b9700fb12b44","src/main/java/com/gmail/nossr50/Combat.java","115","0","3","6","338","464","1"
"68da48e19f1023f13b407856ab18450febb3ed7d","src/main/java/com/gmail/nossr50/listeners/mcBlockListener.java","130","0","0","6","358","482","1"
"0cd0919447af59aab9f6d0aba112ffe077204296","src/main/java/com/gmail/nossr50/config/treasure/TreasureConfig.java","66","0","0","2","282","348","0"
"284bab397a98cfe5489c32aa8222776ebec84823","src/main/java/com/gmail/nossr50/commands/admin/XprateCommand.java","15","0","0","2","80","96","1"
