"Hash","LongName","McCC","CLOC","PDA","PUA","LLOC","LOC","Number of Bugs"
"d790df62233c3bab3507adac9d1e63a3cd051bbc","platform/src/main/java/gov/nasa/arc/mct/gui/dialogs/AboutDialog.java","3","0","0","4","90","140","1"
"c51c585e19c0ee09920cb84aebf4039dd9691380","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/bridge/PlotView.java","112","0","36","36","867","1302","0"
"c51c585e19c0ee09920cb84aebf4039dd9691380","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/settings/LineSetupPanel.java","17","0","1","5","153","224","0"
"b206263ada09ba2bacefecc5ec012695d9b0e8e7","mctCoreTaxonomyProvider/src/test/java/gov/nasa/arc/mct/core/policy/OwnershipTest.java","3","0","1","5","86","141","1"
"d790df62233c3bab3507adac9d1e63a3cd051bbc","platform/src/main/java/gov/nasa/arc/mct/gui/dialogs/AboutLicensesDialog.java","2","0","0","3","71","109","1"
"c51c585e19c0ee09920cb84aebf4039dd9691380","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/view/PlotViewFactory.java","12","0","0","1","70","120","0"
"fc17af8aec0dfc5373de8f43ab793377ed63f060","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/bridge/MarqueeZoomListener.java","11","0","0","5","176","232","0"
"8258a874558fb0fab19d7d3c0f101545bdb26038","canvas/src/test/java/gov/nasa/arc/mct/canvas/view/PanelInspectorTest.java","12","0","1","6","114","200","1"
"42cbc3f5b68e1b67340a44ddd6fca5daf1147a96","tableViews/src/main/java/gov/nasa/arc/mct/table/gui/LabeledTable.java","197","0","104","0","1011","1868","1"
"8258a874558fb0fab19d7d3c0f101545bdb26038","platform/src/test/java/gov/nasa/arc/mct/gui/housing/TestInspector.java","13","0","0","8","168","247","1"
"c51c585e19c0ee09920cb84aebf4039dd9691380","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/scatter/ScatterPlot.java","22","0","0","56","371","488","0"
"c51c585e19c0ee09920cb84aebf4039dd9691380","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/settings/PlotSetupPanel.java","40","0","2","0","671","974","0"
"2bf3c8b935f950b0c993fc183d2f75fe422cbb6f","exampleplugin/src/main/java/org/acme/example/view/ShowChildrenInTableView.java","21","0","6","5","241","366","1"
"8258a874558fb0fab19d7d3c0f101545bdb26038","platform/src/main/java/gov/nasa/arc/mct/gui/housing/Inspector.java","28","0","0","8","340","434","1"
"c51c585e19c0ee09920cb84aebf4039dd9691380","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/scatter/ScatterPlotDataManager.java","22","0","0","11","120","144","0"
"9c0bcefc5d92305651ce3e463cd49c952d6d9220","mctcore/src/main/java/gov/nasa/arc/mct/services/component/ViewInfo.java","16","0","17","3","139","315","0"
"2cd37a48b601707b2b195b90dd184eab335564d9","canvas/src/main/java/gov/nasa/arc/mct/canvas/view/PanelInspector.java","12","0","0","6","239","303","2"
"c51c585e19c0ee09920cb84aebf4039dd9691380","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/settings/controls/PlotSettingsComboBox.java","6","0","1","6","60","81","0"
"8258a874558fb0fab19d7d3c0f101545bdb26038","canvas/src/main/java/gov/nasa/arc/mct/canvas/view/PanelInspector.java","12","0","0","7","243","307","1"
"c51c585e19c0ee09920cb84aebf4039dd9691380","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/bridge/PlotConstants.java","4","0","9","12","233","374","0"
"fc17af8aec0dfc5373de8f43ab793377ed63f060","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/bridge/PlotLocalControlsManager.java","57","0","1","7","434","551","0"
"c51c585e19c0ee09920cb84aebf4039dd9691380","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/scatter/ScatterPlotDataSeries.java","9","0","0","7","87","103","0"
"b206263ada09ba2bacefecc5ec012695d9b0e8e7","mctCoreTaxonomyProvider/src/main/java/gov/nasa/arc/mct/core/policy/CheckComponentOwnerIsUserPolicy.java","6","0","1","1","22","59","1"
"5256f5ecda0f01f4c3565319d6545cdbe5d18f09","databasePersistence/src/main/java/gov/nasa/arc/mct/dbpersistence/service/PersistenceServiceImpl.java","97","0","2","25","843","981","1"
"c51c585e19c0ee09920cb84aebf4039dd9691380","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/view/PlotViewManifestation.java","58","0","12","13","427","619","0"
"2647bd2a458f849c0a32cff471cac536757323fe","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/bridge/PlotLimitManager.java","61","0","0","0","323","474","1"
"2a9d7ff637569850931df63fc186fb135b48c8e8","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel.java","235","0","7","10","2729","3677","1"
"e247325ef58aef95b91f44637f80a0dc0b003788","platform/src/main/java/gov/nasa/arc/mct/identitymgr/impl/DefaultIdentityManager.java","10","0","2","1","36","62","0"
"c51c585e19c0ee09920cb84aebf4039dd9691380","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/bridge/AbstractPlotLine.java","1","0","0","6","10","14","0"
"00a1a4e44d41db0509178e7acb449101cb47231f","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/scatter/ScatterPlotDataSeries.java","17","0","0","8","100","120","0"
"4b928a3e7866920c5fe1cb5f34b82d667b840e21","exampleplugin/src/main/java/org/acme/example/view/ShowChildrenInTableView.java","22","0","6","5","240","364","0"
"00a1a4e44d41db0509178e7acb449101cb47231f","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/settings/PlotSetupPanel.java","40","0","2","0","671","975","0"
"05f1a5bde8b837c289f84409f3c5189938aaf581","canvas/src/main/java/gov/nasa/arc/mct/canvas/view/PanelInspector.java","13","0","0","7","242","306","0"
"dcd656243a1cab0f77eade751ce713efdce70d94","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/bridge/PlotLimitManager.java","61","0","0","0","343","498","0"
"00a1a4e44d41db0509178e7acb449101cb47231f","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/view/PlotViewFactory.java","15","0","0","1","77","127","0"
"5e8071fc4e37bcb6ab82c758bfe89585f59cc467","databasePersistence/src/main/java/gov/nasa/arc/mct/dbpersistence/service/PersistenceServiceImpl.java","98","0","2","25","848","986","0"
"00a1a4e44d41db0509178e7acb449101cb47231f","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/bridge/PlotView.java","112","0","36","37","870","1307","0"
"00a1a4e44d41db0509178e7acb449101cb47231f","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/scatter/ScatterPlot.java","23","0","0","56","389","509","0"
"05f1a5bde8b837c289f84409f3c5189938aaf581","platform/src/test/java/gov/nasa/arc/mct/gui/housing/TestInspector.java","13","0","1","8","183","269","0"
"f078397eabd1ec6054d434c73d65babc093fab9b","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/view/PlotSettingsControlPanel.java","235","0","7","10","2729","3677","0"
"523a7d63d73ef3ea83abb30531d2ba0f3a6ee78e","mctCoreTaxonomyProvider/src/test/java/gov/nasa/arc/mct/core/policy/OwnershipTest.java","11","0","1","5","99","158","0"
"15f0141df0856e61ab3ebe8029be16fd462fc23d","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/bridge/PlotLocalControlsManager.java","57","0","1","7","435","552","0"
"523a7d63d73ef3ea83abb30531d2ba0f3a6ee78e","mctCoreTaxonomyProvider/src/main/java/gov/nasa/arc/mct/core/policy/CheckComponentOwnerIsUserPolicy.java","7","0","1","1","23","60","0"
"81e9ca1d0352cf661e95af40cddedb3998c045b8","canvas/src/main/java/gov/nasa/arc/mct/canvas/view/PanelInspector.java","12","0","0","7","243","307","1"
"00a1a4e44d41db0509178e7acb449101cb47231f","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/view/PlotViewManifestation.java","58","0","12","13","428","619","0"
"00a1a4e44d41db0509178e7acb449101cb47231f","fastPlotViews/src/main/java/gov/nasa/arc/mct/fastplot/bridge/AbstractPlotLine.java","1","0","0","10","14","18","0"
"adc63ec9e390456a520b41dcb5c56241939ea687","mctcore/src/main/java/gov/nasa/arc/mct/services/component/ViewInfo.java","15","0","17","3","137","313","0"
"440ed488da37b8c47f5bcb83c7cd5b15ec15e8c1","platform/src/main/java/gov/nasa/arc/mct/gui/dialogs/AboutDialog.java","3","0","0","4","90","140","0"
"05f1a5bde8b837c289f84409f3c5189938aaf581","canvas/src/test/java/gov/nasa/arc/mct/canvas/view/PanelInspectorTest.java","12","0","2","6","137","233","0"
