"Hash","LongName","McCC","CLOC","PDA","PUA","LLOC","LOC","Number of Bugs"
"92bff167832b0389e135a60e46f1284c34744e3c","framework/oryx-lambda-serving/src/test/java/com/cloudera/oryx/lambda/serving/MockServingModelManager.java","1","0","0","5","22","49","0"
"31fb3c41d9d4b4650dd5da05b2212c7d27cb1da9","oryx-app-mllib/src/test/java/com/cloudera/oryx/app/mllib/rdf/RDFCategoricalHyperParamTuningIT.java","6","0","0","2","84","119","1"
"d6687d2eb4391d042aa1d5e80653326e501b0fed","app/oryx-app-serving/src/test/java/com/cloudera/oryx/app/serving/als/model/ALSServingInputProducerIT.java","3","0","0","2","57","90","1"
"92bff167832b0389e135a60e46f1284c34744e3c","app/oryx-app-serving/src/main/java/com/cloudera/oryx/app/serving/als/Ingest.java","7","0","1","2","66","117","0"
"eff199ff1f6cad1b4ff13829dfb29ff4884d4c31","app/oryx-app-common/src/test/java/com/cloudera/oryx/app/kmeans/KMeansUtilsTest.java","1","0","0","6","62","89","0"
"d6687d2eb4391d042aa1d5e80653326e501b0fed","framework/oryx-lambda-serving/src/main/java/com/cloudera/oryx/lambda/serving/TopicProducerImpl.java","3","0","1","6","52","87","1"
"0e536a808244ffd416c047e7c365d4f055ea1b8a","app/oryx-app-mllib/src/test/java/com/cloudera/oryx/app/batch/mllib/kmeans/KMeansUpdateIT.java","5","0","0","2","76","116","0"
"d6687d2eb4391d042aa1d5e80653326e501b0fed","app/oryx-app-mllib/src/test/java/com/cloudera/oryx/app/batch/mllib/rdf/RDFNumericHyperParamTuningIT.java","7","0","0","2","89","125","1"
"d16f89b25fc5e12f94af6432274c66e0394c1743","framework/oryx-lambda-serving/src/main/java/com/cloudera/oryx/lambda/serving/ModelManagerListener.java","9","0","1","3","154","207","0"
"69df35c2f300fbb8052b8ec5250e98abec351093","framework/oryx-lambda/src/main/java/com/cloudera/oryx/lambda/batch/SaveToHDFSFunction.java","3","0","0","0","60","87","0"
"74921d9fce0e695ad2f093b11f299f5caf997a31","app/oryx-app/src/test/java/com/cloudera/oryx/app/speed/rdf/RDFSpeedIT.java","18","0","0","3","141","189","1"
"eb08674e77479787fa9288f2c824e48af8539ff2","oryx-app-mllib/src/main/java/com/cloudera/oryx/app/mllib/rdf/RDFUpdate.java","42","0","0","5","502","617","0"
"fddb336ac30ea3fb0bde91c61ef043f523d7d9fe","app/example/src/main/java/com/cloudera/oryx/example/ExampleServingModelManager.java","1","0","1","3","17","44","0"
"5dee3554c81652b743b1f73ae3dfb0fdc1fe9943","oryx-ml-oryx-serving/src/main/java/com/cloudera/oryx/ml/serving/als/model/ALSServingModelManager.java","9","0","0","4","77","116","1"
"6168157dff2bc3dc210abe2f731785f2ad07960e","framework/oryx-lambda-serving/src/main/java/com/cloudera/oryx/lambda/serving/ServingLayer.java","23","0","4","2","246","339","0"
"a3fad83af334072f2a5a29c27124408bce1c16a3","framework/oryx-lambda/src/main/java/com/cloudera/oryx/lambda/AbstractSparkLayer.java","11","0","2","1","221","304","1"
"e0b8eb77d5771ae8f13d00fd85fa143144cb8f42","app/oryx-app-serving/src/main/java/com/cloudera/oryx/app/serving/als/model/ALSServingModelManager.java","23","0","1","3","139","187","0"
"982cafdf7cb43bde8f4260efd705860b2264acb0","framework/oryx-lambda/src/main/java/com/cloudera/oryx/lambda/AbstractSparkLayer.java","3","0","2","1","167","245","1"
"aed5c73de7645c46f9fc3da32ea8c14fffe18e50","app/oryx-app/src/test/java/com/cloudera/oryx/app/speed/als/MockALSInputGenerator.java","2","0","0","2","19","40","0"
"d6687d2eb4391d042aa1d5e80653326e501b0fed","app/oryx-app/src/test/java/com/cloudera/oryx/app/speed/als/ALSSpeedIT.java","8","0","0","2","82","121","1"
