"Hash","LongName","McCC","CLOC","PDA","PUA","LLOC","LOC","Number of Bugs"
"d97dcb889258ac748139dde5679efa447466d141","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/model/JDTModule.java","1","0","0","0","0","1150","0"
"7c59028bc7100b0093e1751b41b14305a969927f","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/model/JDTModule.java","1","0","0","0","0","1157","0"
"bd3ee3c8a906f50b50e041545c19d63e346a9f59","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/builder/ExplodingJavaFileObject.java","1","0","0","0","115","134","0"
"6dc45ff3fafa8f0e59977c0291ddec7f97efaede","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/CeylonResources.java","1","0","0","1","173","206","1"
"1cfcc411e9affda9de0b72cd43a67f5ec3bb327a","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/ui/CeylonResources.java","1","0","0","1","174","207","0"
"034391f15be8f6a64ba90641ecaf7581941ff85e","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/navigator/CeylonElementSorter.java","1","0","0","1","5","9","0"
"b477f175bba758cbbdb16b48381c9c1ab7f221fa","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/java2ceylon/VfsJ2C.java","1","0","0","11","29","43","0"
"f179edca8ad577596cb7147cf9df03d85f140757","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/java2ceylon/VfsJ2C.java","1","0","0","11","30","44","1"
"19348339b0484c476b6934f72fba4bb83fb44da3","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/navigator/ModuleNode.java","1","0","0","2","5","7","1"
"6dc45ff3fafa8f0e59977c0291ddec7f97efaede","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/model/IdeUnit.java","1","0","0","2","7","10","1"
"142affd9309b6c998662ff091c36afbdc286ffe0","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/resolve/CeylonJavaBackendHyperlinkDetector.java","1","0","0","3","14","19","0"
"142affd9309b6c998662ff091c36afbdc286ffe0","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/resolve/CeylonJavascriptBackendHyperlinkDetector.java","1","0","0","3","15","20","0"
"30b484af1265b5a74a73e0e4a43b2068c02e71cb","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/debug/preferences/CeylonDebugPreferenceInitializer.java","1","0","0","3","19","26","1"
"bc7e36b599ddb26e3fa56e733201615c3b8b34f0","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/debug/preferences/CeylonDebugPreferenceInitializer.java","1","0","0","3","21","28","0"
"3cb61fd56d8c36a17ce04e0ce01bf96c3c7583b9","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/navigator/ModuleNode.java","1","0","0","3","6","8","0"
"86f26fa537e183c4a48c2adbef4b49cf726e931d","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/model/IJavaModelAware.java","1","0","0","3","8","13","1"
"c5c15a0b33245f13d9fc7d44db226c0458005f73","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/model/IJavaModelAware.java","1","0","0","4","10","14","0"
"56e5fc87623ad40957346045ebcfbf8567b970a8","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/model/SourceFile.java","1","0","0","4","17","24","1"
"6dc45ff3fafa8f0e59977c0291ddec7f97efaede","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/model/JavaCompilationUnit.java","1","0","0","4","20","27","1"
"6dc45ff3fafa8f0e59977c0291ddec7f97efaede","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/model/JavaClassFile.java","1","0","0","4","20","28","1"
"89519750f096617996b145fcd5934d0406bac2c0","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/complete/ParameterInfo.java","1","0","0","4","29","32","0"
"1cfcc411e9affda9de0b72cd43a67f5ec3bb327a","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/model/IdeUnit.java","1","0","0","5","10","14","0"
"c5c15a0b33245f13d9fc7d44db226c0458005f73","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/model/JavaCompilationUnit.java","1","0","0","8","39","50","0"
"73a91d7f63a211f3e9053e182bc2cfebf778033d","plugins/com.redhat.ceylon.test.eclipse.plugin/src/com/redhat/ceylon/test/eclipse/plugin/CeylonTestPlugin.java","1","0","0","8","58","76","0"
"a00e43fdd1b2586d8dccefb9e313fe22e6fb6027","plugins/com.redhat.ceylon.test.eclipse.plugin/src/com/redhat/ceylon/test/eclipse/plugin/CeylonTestPlugin.java","1","0","0","8","59","78","1"
"d97dcb889258ac748139dde5679efa447466d141","plugins/com.redhat.ceylon.eclipse.ui/java-to-ceylon-source/com/redhat/ceylon/eclipse/code/complete/completionJ2C.java","1","0","2","1","18","29","0"
"5b4c3eac8a7c12c0125a77343e602b4e73083595","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/correct/RemoveAliasProposal.java","10","0","0","0","86","103","0"
"e89324305b6be078e574b3c554a7cc2cdb57e73c","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/style/FormatterTabMisc.java","10","0","0","3","144","164","0"
"3cb33660de43deb63a0b187966d5d9dd99672eba","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/style/FormatterTabMisc.java","10","0","0","3","150","167","0"
"101077f4a61a1632853fcc132cb1116ddc7e814b","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/model/mirror/JDTAnnotation.java","10","0","0","4","69","100","0"
"8a6a98b02ef221ef39cfb22b5d6cd8072f5ab164","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/refactor/AliasLinkedMode.java","10","0","0","5","202","299","0"
"9baf7148e1b79457774c428151b7b84d1c031d6d","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/builder/CeylonNature.java","10","0","0","7","103","128","1"
"3770efda90a944f7758dbd197a3aaba61c2e625b","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/hover/AnnotationIterator.java","10","0","2","3","61","83","0"
"64b73d83546ef38e15b029a505fabaa71555941b","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/parse/CeylonParseController.java","100","0","3","13","645","826","2"
"d97dcb889258ac748139dde5679efa447466d141","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/complete/CompletionUtil.java","102","0","0","13","469","502","0"
"d07fc67098fbbc0bc5bdc07fb518f75042d95444","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/parse/CeylonParseController.java","102","0","5","11","667","872","1"
"51ca2332af281fc6ce521bc768204d4b83229f6a","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/parse/CeylonParseController.java","102","0","5","12","740","939","1"
"a253f8214734eb9a0e8f296303a574c56e748f63","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/parse/CeylonParseController.java","102","0","5","12","741","940","1"
"64a391fbabba6b9bc6b553abfa42466e0ca9673d","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/parse/CeylonParseController.java","103","0","5","11","670","874","0"
"35ff2e0446d48071bccdcbab4ba679995e832070","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/refactor/ChangeParametersRefactoring.java","104","0","0","18","662","728","0"
"66f5c6830770ae056a7d22c19c61f99dc1100dde","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/util/EditorUtil.java","108","0","4","23","597","782","0"
"8f00f075a9dc27a5ae11acb7304da937dbfafb40","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/correct/ShadowReferenceProposal.java","11","0","0","0","111","130","0"
"48f545dd14da3d016d44ba5cd33b4bad5f850323","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/correct/ShadowReferenceProposal.java","11","0","0","0","123","132","1"
"64a391fbabba6b9bc6b553abfa42466e0ca9673d","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/correct/RemoveAliasProposal.java","11","0","0","0","87","104","0"
"e82ba3737495cae8f78802a01c33bc2428322bfb","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/typechecker/ProjectPhasedUnit.java","11","0","0","10","99","126","1"
"508c202d9ba08455439d6e8cd49d2651540334f2","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/editor/PasteAsCeylonHandler.java","11","0","0","2","228","263","0"
"110d674743accb24351ea2914a144b51f7a7ca25","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/navigator/NonEssentialEmptyInnerPackageFilter.java","11","0","0","2","33","39","1"
"2b3575dd07473b609dad70d557b3af03c75f1e80","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/resolve/JavaToCeylonHyperlinkDetector.java","11","0","0","2","94","111","1"
"5b4c3eac8a7c12c0125a77343e602b4e73083595","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/refactor/AliasLinkedMode.java","11","0","0","5","210","307","0"
"765624413a8fc99091a14d8ff74f1ff5e3184e7b","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/refactor/AliasLinkedMode.java","11","0","0","5","210","307","0"
"65c4e729050764a2a48fa921d809ad9324757eb0","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/refactor/AliasLinkedMode.java","11","0","0","5","210","307","1"
"5b4c3eac8a7c12c0125a77343e602b4e73083595","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/refactor/ExtractLinkedMode.java","11","0","0","7","154","179","0"
"19b756b43a799a57055176f2cb568f5f136c2c3e","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/core/debug/BreakpointMethodFilter.java","11","0","0","8","79","93","0"
"3cb33660de43deb63a0b187966d5d9dd99672eba","plugins/com.redhat.ceylon.eclipse.ui/src/com/redhat/ceylon/eclipse/code/style/CeylonStyle.java","11","0","2","3","131","158","0"
