"Hash","LongName","McCC","CLOC","PDA","PUA","LLOC","LOC","Number of Bugs"
"fb8592495d54013325bf73a1bee771ec242d9315","src/main/java/com/gmail/nossr50/datatypes/database/UpgradeType.java","1","0","0","1","10","12","1"
"c10525ada9ed2c0b77c518089a300e3b4e32e7c1","src/main/java/com/gmail/nossr50/datatypes/database/UpgradeType.java","1","0","0","1","11","13","0"
"8dfa8c20f32e391c3d299abc51514a6601ed6e80","src/main/java/com/gmail/nossr50/skills/swords/SerratedStrikesEventHandler.java","1","0","0","1","20","26","4"
"87df536a1f09da85c98252e3d22938ac2e15f6ca","src/main/java/com/gmail/nossr50/commands/experience/AddlevelsCommand.java","1","0","0","1","28","36","1"
"b107a8dc7c32ed4f1c2863aa5e6bdf4a9b142c89","src/main/java/com/gmail/nossr50/events/fake/FakeBrewEvent.java","1","0","0","2","9","12","0"
"96fdf265d53f406ca8b84cb530293c001b98fff7","src/main/java/com/gmail/nossr50/chat/PartyChatManager.java","1","0","0","3","23","31","0"
"2ca7d139fe2d73d9b0c88bee1cdd4a652e199ae1","src/main/java/com/gmail/nossr50/runnables/commands/MctopCommandAsyncTask.java","1","0","0","3","24","33","0"
"7e67505dfbc714b85abe4b7b762e245f2b173c75","src/main/java/com/gmail/nossr50/runnables/commands/MctopCommandAsyncTask.java","1","0","0","3","24","34","1"
"6264bfa15faaeda7141aba6048310532249e01c1","src/main/java/com/gmail/nossr50/events/skills/alchemy/McMMOPlayerBrewEvent.java","1","0","0","6","29","39","0"
"3b05bb96e36af09bf58f84f3bd49938d7826d807","src/main/java/com/gmail/nossr50/events/chat/McMMOAdminChatEvent.java","1","0","1","1","7","13","0"
"e9dcb3100278ae2ccb92598f8e05ace2ebd903e2","src/main/java/com/gmail/nossr50/events/chat/McMMOAdminChatEvent.java","1","0","1","2","10","17","0"
"6b9f6c29ec312e23cebd9bc697462cd394b53c93","src/main/java/com/gmail/nossr50/events/fake/FakeEntityDamageEvent.java","1","0","1","2","18","28","0"
"fb8592495d54013325bf73a1bee771ec242d9315","src/main/java/com/gmail/nossr50/database/DatabaseManager.java","1","0","11","1","23","105","2"
"c10525ada9ed2c0b77c518089a300e3b4e32e7c1","src/main/java/com/gmail/nossr50/database/DatabaseManager.java","1","0","13","3","29","136","1"
"857e12b96edf68bc2e2fdbdf72659ce82612bda1","src/main/java/com/gmail/nossr50/database/DatabaseManager.java","1","0","14","3","30","138","0"
"3b05bb96e36af09bf58f84f3bd49938d7826d807","src/main/java/com/gmail/nossr50/events/chat/McMMOPartyChatEvent.java","1","0","2","1","12","23","0"
"e9dcb3100278ae2ccb92598f8e05ace2ebd903e2","src/main/java/com/gmail/nossr50/events/chat/McMMOPartyChatEvent.java","1","0","2","2","16","28","0"
"3b05bb96e36af09bf58f84f3bd49938d7826d807","src/main/java/com/gmail/nossr50/events/chat/McMMOChatEvent.java","1","0","7","4","53","88","0"
"e9dcb3100278ae2ccb92598f8e05ace2ebd903e2","src/main/java/com/gmail/nossr50/events/chat/McMMOChatEvent.java","1","0","7","4","59","95","0"
"c48ccae484ff8da16d6c2d318a19f7c441f65a01","src/main/java/com/gmail/nossr50/skills/excavation/Excavation.java","10","0","0","1","38","59","1"
"93548317293e2c6c5195544b99d4ce7d900abea1","src/main/java/com/gmail/nossr50/skills/acrobatics/RollEventHandler.java","10","0","0","1","76","107","0"
"d0c0b9a089d3b99e7fe68740860fef2d0275613f","src/main/java/com/gmail/nossr50/commands/mc/McabilityCommand.java","10","0","0","2","55","70","0"
"fb8592495d54013325bf73a1bee771ec242d9315","src/main/java/com/gmail/nossr50/commands/database/ConvertDatabaseCommand.java","10","0","0","2","58","75","2"
"857e12b96edf68bc2e2fdbdf72659ce82612bda1","src/main/java/com/gmail/nossr50/commands/database/ConvertDatabaseCommand.java","10","0","0","2","59","76","0"
"037022b175407ef7373ed0172adf0f8aba2d7ce3","src/main/java/com/gmail/nossr50/skills/unarmed/Unarmed.java","10","0","0","2","64","84","1"
"1c30146491b87dd2388e6069a68876bf9096ab24","src/main/java/com/gmail/nossr50/skills/unarmed/Unarmed.java","10","0","0","2","65","87","0"
"d0c0b9a089d3b99e7fe68740860fef2d0275613f","src/main/java/com/gmail/nossr50/commands/general/InspectCommand.java","10","0","0","2","68","87","0"
"fb4777e7f05d61fb5a581111dd5f9deebb604abd","src/main/java/com/gmail/nossr50/commands/skills/SkillGuideCommand.java","10","0","0","3","68","91","1"
"973279ed40d7d21aa5eaacb55a70d9c086f226a8","src/main/java/com/gmail/nossr50/commands/mc/McrankCommand.java","10","0","0","3","69","89","0"
"be4e62fe9dbb77ddb3ff0f5a658fd775dd496a11","src/main/java/com/gmail/nossr50/commands/party/PtpCommand.java","10","0","0","3","70","89","0"
"61ae4826d17e1f6d19bd1b885fb3a7c548f5499f","src/main/java/com/gmail/nossr50/commands/party/PtpCommand.java","10","0","0","3","71","90","0"
"70231b6ae0c1807324ad9bd9ccdea88c1b2357ab","src/main/java/com/gmail/nossr50/config/mods/CustomToolsConfig.java","10","0","0","3","82","102","1"
"70231b6ae0c1807324ad9bd9ccdea88c1b2357ab","src/main/java/com/gmail/nossr50/config/mods/CustomArmorConfig.java","10","0","0","4","75","95","1"
"a49d373af09569a91f4094618d122b0a80a275a3","src/main/java/com/gmail/nossr50/runnables/skills/KrakenAttackTask.java","10","0","0","4","76","95","1"
"8dfa8c20f32e391c3d299abc51514a6601ed6e80","src/main/java/com/gmail/nossr50/skills/swords/SwordsManager.java","10","0","1","4","66","92","4"
"3440833af8bebbcd9e463dbb5174da41cd8d864f","src/main/java/com/gmail/nossr50/skills/swords/SwordsManager.java","10","0","1","8","63","85","0"
"8dfa8c20f32e391c3d299abc51514a6601ed6e80","src/main/java/com/gmail/nossr50/skills/acrobatics/AcrobaticsManager.java","10","0","2","2","60","88","4"
"e5cc06e8227da4227d70233bae023a5b018e5da1","src/main/java/com/gmail/nossr50/config/Config.java","10","0","27","214","309","409","2"
"8dfa8c20f32e391c3d299abc51514a6601ed6e80","src/main/java/com/gmail/nossr50/skills/archery/ArcheryManager.java","10","0","3","2","65","104","4"
"190b7ee1f544a04c125c4fd4d728326f10d0ec0d","src/main/java/com/gmail/nossr50/listeners/EntityListener.java","100","0","10","3","370","529","2"
"b7bb3f4487cb449ce4fd73530e1060d520da39f2","src/main/java/com/gmail/nossr50/skills/Skills.java","100","0","16","4","320","519","0"
"8dfa8c20f32e391c3d299abc51514a6601ed6e80","src/main/java/com/gmail/nossr50/skills/gathering/Herbalism.java","101","0","3","2","333","432","4"
"973279ed40d7d21aa5eaacb55a70d9c086f226a8","src/main/java/com/gmail/nossr50/spout/SpoutStuff.java","101","0","6","2","435","598","0"
"0ea07d4bc76e5ed3b2bfcdce6b4d0fa4ba922fc8","src/main/java/com/gmail/nossr50/listeners/EntityListener.java","102","0","10","4","377","538","1"
"74d9fa422f473f9e79a9bab865c5af6e329bdbd5","src/main/java/com/gmail/nossr50/spout/SpoutStuff.java","103","0","6","2","434","596","1"
"b7bb3f4487cb449ce4fd73530e1060d520da39f2","src/main/java/com/gmail/nossr50/spout/SpoutStuff.java","103","0","6","2","435","598","0"
"4aeda6e9e810f3c86f88976926d8055c00a53654","src/main/java/com/gmail/nossr50/listeners/BlockListener.java","103","0","7","2","268","400","2"
"cfa0daefc5cb66e3082b4d96db72f1f3fd2125ee","src/main/java/com/gmail/nossr50/listeners/BlockListener.java","103","0","7","2","269","403","0"
"cd40507609c52dbb3f5e043a53a865c894d116e7","src/main/java/com/gmail/nossr50/skills/gathering/WoodCutting.java","104","0","3","1","343","491","0"
"c805b1792970fbde72ac9124cc8f0b9f64c62a1f","src/main/java/com/gmail/nossr50/skills/Herbalism.java","105","0","0","8","324","388","1"
"0386d52e7c8634bbc2324b3906d8c2c7cdda1eb3","src/main/java/com/gmail/nossr50/skills/Herbalism.java","105","0","0","8","330","395","0"
"bfa29cbf02eb3bece2bb4596ed2545c3aaa512d7","src/main/java/com/gmail/nossr50/spout/SpoutStuff.java","105","0","6","4","450","615","0"
"93548317293e2c6c5195544b99d4ce7d900abea1","src/main/java/com/gmail/nossr50/skills/gathering/Herbalism.java","106","0","3","2","343","447","0"
"906609696ba9474feaea2fb501e669f69f8cbdba","src/main/java/com/gmail/nossr50/listeners/BlockListener.java","106","0","7","2","272","393","0"
"0f8312dd5e9bba4a317ff81b2f20f9b21445550a","src/main/java/com/gmail/nossr50/listeners/PlayerListener.java","107","0","12","3","402","587","1"
"598c507849319bfc6180dfcb56be3cc6e90deef6","src/main/java/com/gmail/nossr50/listeners/mcBlockListener.java","108","0","0","6","299","403","1"
"43e3dd79776667d724514f5bee9be7bba00d823c","src/main/java/com/gmail/nossr50/listeners/mcBlockListener.java","108","0","0","6","303","408","0"
"c19d3fd0689b3a65b52e2f7dc9e290ed6dd76f49","src/main/java/com/gmail/nossr50/listeners/PlayerListener.java","108","0","12","3","408","595","0"
"435eb7f8b98c96031ce04154485e63de2dedca11","src/main/java/com/gmail/nossr50/listeners/PlayerListener.java","108","0","12","3","410","597","0"
"be7992d5411324f8c86d59568a4207d5a4e71efa","src/main/java/com/gmail/nossr50/listeners/PlayerListener.java","108","0","12","3","411","599","0"
"71141a0f8d073c1a4facf78b733bfb39232192a3","src/main/java/com/gmail/nossr50/listeners/PlayerListener.java","108","0","15","2","428","675","1"
"7479a022208c2a49cfac9e30a3b1e93506dc6595","src/main/java/com/gmail/nossr50/listeners/PlayerListener.java","109","0","15","2","427","677","1"
"d5dc9895e4f4f2cce6ee127618775cafa37f7847","src/main/java/com/gmail/nossr50/listeners/PlayerListener.java","109","0","15","2","430","681","0"
"6d5f3a52f4ad7c2ef840d4f6b33f7da20eecef48","src/main/java/com/gmail/nossr50/listeners/PlayerListener.java","109","0","15","2","433","682","0"
"81dae8c43d6fb64b682a61844cdb7a9a4625e40b","src/main/java/com/gmail/nossr50/skills/gathering/WoodCutting.java","109","0","3","1","357","513","1"
"62b13a9a84a38ce956689170afd3c18c89e7642b","src/main/java/com/gmail/nossr50/skills/excavation/Excavation.java","11","0","0","1","40","62","0"
"b7bb3f4487cb449ce4fd73530e1060d520da39f2","src/main/java/com/gmail/nossr50/commands/mc/McrankCommand.java","11","0","0","3","72","92","0"
"6964f7adfcc76a91b4cbf091261c447df3fa6bc6","src/main/java/com/gmail/nossr50/config/mods/CustomToolsConfig.java","11","0","0","3","84","106","0"
"299f440f637b05e243d2e72810475d8f9d488a65","src/main/java/com/gmail/nossr50/skills/Taming.java","11","0","0","4","54","77","0"
"9bd4a0a70762b8a2c01198511b1b8ccf2a36bbd8","src/main/java/com/gmail/nossr50/skills/Taming.java","11","0","0","4","55","78","1"
"6964f7adfcc76a91b4cbf091261c447df3fa6bc6","src/main/java/com/gmail/nossr50/config/mods/CustomArmorConfig.java","11","0","0","4","77","99","0"
"4210920c5f30dec16b7b5e4e1ee2d07c2b352993","src/main/java/com/gmail/nossr50/skills/swords/SwordsManager.java","11","0","1","8","64","86","0"
"64e1448782357db706dbab9b68b81ec51f3c4688","src/main/java/com/gmail/nossr50/listeners/EntityListener.java","110","0","11","4","402","574","2"
