"Hash","LongName","McCC","CLOC","PDA","PUA","LLOC","LOC","Number of Bugs"
"91e762bccc8de3a1b2ef2dea53d22bc3f56c7905","titan-es/src/main/java/com/thinkaurelius/titan/diskstorage/es/ElasticSearchConstants.java","1","0","0","1","22","32","0"
"a1e70246868f0fc9e3e6e1bd454f2b0b13170c3b","src/test/java/com/thinkaurelius/titan/graphdb/loading/EdgeLoadingTest.java","1","0","0","2","30","37","1"
"ed88d7286080492045efafb45a69fa4cb6eeb94d","src/test/java/com/thinkaurelius/titan/graphdb/loading/EdgeLoadingTest.java","1","0","0","2","33","41","0"
"e715670b304da165feafdf2a991772ae8ff46f25","titan-core/src/main/java/com/thinkaurelius/titan/graphdb/database/serialize/SerializerInitialization.java","1","0","0","2","36","43","1"
"33a560db97bf3187ac45d1fe4fdf2e6b817bec40","titan-core/src/main/java/com/thinkaurelius/titan/graphdb/database/serialize/SerializerInitialization.java","1","0","0","2","48","56","0"
"627201ea7c20d1f72ab1d548ad5ec11041da09ee","titan-dist/src/test/java/com/thinkaurelius/titan/pkgtest/GremlinShellArgsIT.java","1","0","0","2","8","11","0"
"a1e70246868f0fc9e3e6e1bd454f2b0b13170c3b","src/main/java/com/thinkaurelius/titan/graphdb/query/InternalTitanQuery.java","1","0","0","20","27","53","1"
"33a560db97bf3187ac45d1fe4fdf2e6b817bec40","titan-core/src/main/java/com/thinkaurelius/titan/graphdb/database/serialize/attribute/ByteSerializer.java","1","0","0","3","15","23","0"
"33a560db97bf3187ac45d1fe4fdf2e6b817bec40","titan-core/src/main/java/com/thinkaurelius/titan/graphdb/database/serialize/attribute/CharacterSerializer.java","1","0","0","3","17","25","0"
"55d73740c60812fa57864c07f01e08b09a4504f4","titan-cassandra/src/test/java/com/thinkaurelius/titan/graphdb/thrift/InternalCassandraEventualGraphTest.java","1","0","0","3","18","23","0"
"e715670b304da165feafdf2a991772ae8ff46f25","titan-core/src/main/java/com/thinkaurelius/titan/graphdb/database/serialize/attribute/DoubleSerializer.java","1","0","0","3","24","34","1"
"e715670b304da165feafdf2a991772ae8ff46f25","titan-core/src/main/java/com/thinkaurelius/titan/graphdb/database/serialize/attribute/FloatSerializer.java","1","0","0","3","24","35","1"
"8e76984347ad0cc94af1cde0ecb9b018e79d526c","titan-core/src/main/java/com/thinkaurelius/titan/graphdb/database/serialize/Serializer.java","1","0","0","6","10","20","0"
"ee1d562528178614735f8e5526856dc1e407c97e","titan-core/src/main/java/com/thinkaurelius/titan/graphdb/database/serialize/Serializer.java","1","0","0","6","9","18","0"
"8d5f50cefca0d20892cc6621c5b53cd463a4a2f8","titan-core/src/main/java/com/thinkaurelius/titan/graphdb/configuration/TitanConstants.java","1","0","1","0","35","64","1"
"7bd3abf6dc65777cab11eb9cbd0f5a95b5d3e8fb","titan-core/src/main/java/com/thinkaurelius/titan/graphdb/configuration/TitanConstants.java","1","0","1","0","35","65","0"
