"Hash","LongName","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of Bugs"
"dcb5e7982e71f76bf5aac5830e18c713839ff478","com.nostra13.universalimageloader.core.ImageLoadingInfo","0","0","0","0","0","0","0","0","0","0","0","1","3","4","1","0","1","0.5","0.333333","9","9","1","1","0.333333","9","0","0","0","0","0","18","20","7","0","7","0","1","0","1","0","1","7","0","1","0","18","20","7","0","7","0","1","0","1","0","1","7","0","1","0","0","0","0","0","7","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"56f4df896682733c9979b348e46ba77494851304","com.nostra13.universalimageloader.core.ImageLoadingInfo","0","0","0","0","0","0","0","0","0","0","0","1","4","4","1","0","1","0.5","0.333333","9","9","1","1","0.333333","9","0","0","0","0","0","18","20","7","0","7","0","1","0","1","0","1","7","0","1","0","18","20","7","0","7","0","1","0","1","0","1","7","0","1","0","0","0","0","0","7","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"a3a6db9ef3531b23100e8f786d87dcba833c60f8","com.nostra13.universalimageloader.core.download.HttpClientImageDownloader","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","1","3","0.5","0.285714","6","6","1","1","0.285714","6","2","2","0","0","1","15","18","10","8","1","1","2","0","1","0","12","7","2","4","0","15","18","10","8","1","1","2","0","1","0","12","7","2","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"300a0ea2f23b836dedeaf92774a2586e98e720b9","com.nostra13.universalimageloader.core.download.HttpClientImageDownloader","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","1","3","0.5","0.285714","6","6","1","1","0.285714","6","2","2","0","0","1","15","18","17","8","1","1","2","0","1","0","12","7","8","4","0","15","18","17","8","1","1","2","0","1","0","12","7","8","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"300a0ea2f23b836dedeaf92774a2586e98e720b9","com.nostra13.universalimageloader.core.download.NetworkDeniedImageDownloader","0","0","0","0","0","0","0","0","0","1","1","4","1","1","1","1","3","0.333333","0.318182","7","7","1","2","0.318182","7","1","1","0","0","1","15","18","7","1","1","1","2","0","2","0","2","5","6","2","0","15","18","7","1","1","1","2","0","2","0","2","5","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"a3a6db9ef3531b23100e8f786d87dcba833c60f8","com.nostra13.universalimageloader.core.download.NetworkDeniedImageDownloader","0","0","0","0","0","0","0","0","0","1","1","4","2","1","1","2","4","0.333333","0.304348","7","7","1","2","0.304348","7","1","1","0","0","1","16","19","1","1","1","1","2","0","2","0","2","4","0","2","0","16","19","1","1","1","1","2","0","2","0","2","4","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"300a0ea2f23b836dedeaf92774a2586e98e720b9","com.nostra13.universalimageloader.core.download.SlowNetworkImageDownloader","0","0","0","0","0","0","0","0","0","1","1","4","2","1","1","2","4","0.333333","0.318182","7","7","1","2","0.318182","7","1","1","0","0","1","15","18","7","1","1","1","2","0","2","0","2","6","6","2","0","15","18","7","1","1","1","2","0","2","0","2","6","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"a3a6db9ef3531b23100e8f786d87dcba833c60f8","com.nostra13.universalimageloader.core.download.SlowNetworkImageDownloader","0","0","0","0","0","0","0","0","0","1","1","4","3","1","1","3","5","0.333333","0.291667","7","7","1","2","0.291667","7","1","1","0","0","1","17","20","1","1","1","1","2","0","2","0","2","5","0","2","0","17","20","1","1","1","1","2","0","2","0","2","5","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"e8f9ebc38e6c3fc076355f6a942d559e14631e6f","com.nostra13.universalimageloader.utils.StorageUtils","0","0","0","0","0","0","0","0","0","2","2","14","1","1","1","0","5","1","0.392857","33","33","4","0","0.392857","33","0","0","0","0","0","51","85","1","4","1","4","5","0","3","0","5","28","0","3","0","51","85","1","4","1","4","5","0","3","0","5","28","0","3","0","0","0","0","0","4","0","1","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"af137e29c86dec1485397429e6a50f46d707bd42","com.nostra13.universalimageloader.utils.StorageUtils","0","0","0","0","0","0","0","0","0","2","2","15","1","1","1","0","5","1","0.383721","33","33","4","0","0.383721","33","0","0","0","0","0","53","87","1","4","1","4","5","0","3","0","5","29","0","3","0","53","87","1","4","1","4","5","0","3","0","5","29","0","3","0","0","0","0","0","5","0","2","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"734507d7e0b186bb5807590a434a970f5f829f1d","com.nostra13.universalimageloader.utils.StorageUtils","0","0","0","0","0","0","0","0","0","2","2","15","1","1","1","0","5","1","0.383721","33","33","4","0","0.383721","33","0","0","0","0","0","53","87","1","4","1","4","5","0","3","0","5","29","0","3","0","53","87","1","4","1","4","5","0","3","0","5","29","0","3","0","0","0","0","0","5","0","2","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"06f7fd069983eb75be78fc2eaa91335964e58b88","com.nostra13.universalimageloader.utils.StorageUtils","0","0","0","0","0","0","0","0","0","2","2","16","1","1","1","0","5","1","0.392857","33","33","4","0","0.392857","33","0","0","0","0","0","51","85","1","4","1","4","5","0","3","0","5","28","0","3","0","51","85","1","4","1","4","5","0","3","0","5","28","0","3","0","0","0","0","0","4","0","1","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"d810a95ef04e128ba234c8c99a51fc07290f371a","com.nostra13.universalimageloader.utils.StorageUtils","0","0","0","0","0","0","0","0","0","2","2","16","1","1","1","2","7","1","0.37037","30","30","4","0","0.37037","30","0","0","0","0","0","51","81","1","4","1","4","5","0","3","0","5","28","0","3","0","51","81","1","4","1","4","5","0","3","0","5","28","0","3","0","0","0","0","0","4","0","1","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"012f7df5768cd2dcbf689625e6abe5bcc7b1004b","com.nostra13.universalimageloader.utils.StorageUtils","0","0","0","0","0","0","0","0","0","2","2","17","1","1","1","2","7","1","0.360465","31","30","4","0","0.360465","31","0","0","0","0","0","55","85","1","4","1","4","5","0","3","0","5","31","0","3","0","55","85","1","4","1","4","5","0","3","0","5","31","0","3","0","0","0","0","0","4","0","1","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ed7aac1d1b6bbb170374dc9dbdca67de2b1c0ed4","com.nostra13.universalimageloader.core.LoadAndDisplayImageTask$1","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"dcb5e7982e71f76bf5aac5830e18c713839ff478","com.nostra13.universalimageloader.core.LoadAndDisplayImageTask$2","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"ed7aac1d1b6bbb170374dc9dbdca67de2b1c0ed4","com.nostra13.universalimageloader.core.LoadAndDisplayImageTask$2","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","1","2","0","0","0","0","0","2","0","0","0","0","0","0","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"dcb5e7982e71f76bf5aac5830e18c713839ff478","com.nostra13.universalimageloader.core.display.SimpleBitmapDisplayer","0","0","0","0","0","0","0","0","1","0","0","1","2","1","0","0","1","0.5","0.461538","6","6","1","1","0.461538","6","1","1","0","0","1","7","7","0","0","0","0","1","0","1","0","1","2","0","1","0","7","7","0","0","0","0","1","0","1","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"56f4df896682733c9979b348e46ba77494851304","com.nostra13.universalimageloader.core.LoadAndDisplayImageTask$2","0","0","0","0","0","0","0","0","1","0","0","1","3","0","0","2","3","0","0","0","0","0","2","0","0","0","0","0","0","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56f4df896682733c9979b348e46ba77494851304","com.nostra13.universalimageloader.core.display.SimpleBitmapDisplayer","0","0","0","0","0","0","0","0","1","0","0","1","3","1","0","1","2","0.5","0.461538","6","6","1","1","0.461538","6","1","1","0","0","1","7","7","0","0","0","0","1","0","1","0","1","2","0","1","0","7","7","0","0","0","0","1","0","1","0","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1e169f67b2d5d02ed1a2e386285506e7bb29c3a9","com.nostra13.universalimageloader.core.imageaware.ImageNonViewAware","0","0","0","0","0","0","0","0","1","0","0","11","3","1","1","2","12","0.0909091","0.196429","11","9","1","10","0.196429","11","1","1","0","0","1","45","56","3","5","3","5","10","0","10","2","10","12","0","10","2","45","56","3","5","3","5","10","0","10","2","10","12","0","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
