"Hash","LongName","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of Bugs"
"4288ba82cfa9aa8c261bc9d1af2da9591402749f","org.mapdb.issues.Issue465Test$ExtHashMap","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4288ba82cfa9aa8c261bc9d1af2da9591402749f","org.mapdb.SerializerPojoTest$ExtHashMap","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39b4ea3b1f720aa1cdbf2eb2880a749b06cfbf13","org.mapdb.issues.Issue571Test$CustomValueClass","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0.25","1","1","1","0","0.25","1","0","0","0","0","0","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"151f856bdfd4d74e464459994ceb84e1daa61aba","org.mapdb.StorageDirectRAFTest","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","3","3","0","0","1","5","6","6","2","0","0","0","0","0","0","36","0","0","28","1","5","6","6","2","0","0","0","0","0","0","36","0","0","28","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3f5589a518d1693e5b8e4e86f2fafa805f8662e5","org.mapdb.SerializerPojoTest$WriteReplaceBB","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","3","3","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18146ebd03cf0f6f842ff73fdf2288f275c9733a","org.mapdb.Queues","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0.5","3","3","1","0","0.0724234","26","0","0","0","0","0","3","28","0","0","0","0","1","0","0","0","1","0","0","0","0","333","451","32","0","15","0","43","0","42","0","121","173","17","120","0","0","0","0","0","56","0","0","40","0","0","0","2","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"5dc3c9b2bd6c92a6ee239ea3a63d43ddbd53e741","org.mapdb.Queues","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0.5","3","3","1","0","0.0724234","26","0","0","0","0","0","3","28","0","0","0","0","1","0","0","0","1","0","0","0","0","333","451","44","0","15","0","43","0","42","0","121","173","29","120","0","0","0","0","0","56","0","0","40","0","0","0","2","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"d3819a5afe95f8a7a17b8b0a69292192550617b8","org.mapdb.Queues","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0.5","3","3","1","0","0.0732394","26","0","0","0","0","0","3","28","0","0","0","0","1","0","0","0","1","0","0","0","0","329","446","32","0","15","0","43","0","42","0","121","171","17","120","0","0","0","0","0","55","0","0","40","0","0","0","2","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"6205f336742f1b726e014b6f9f84ab761f91dfd9","org.mapdb.Queues","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0.5","3","3","1","0","0.0923913","34","0","0","0","0","0","3","25","0","0","0","0","1","0","0","0","1","0","0","0","0","334","461","48","1","12","0","44","0","42","0","137","169","36","135","0","0","0","0","0","41","0","0","27","0","0","0","2","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"68a70468358c4c93df11e548de7eda883513b5d5","org.mapdb.Queues","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0.5","3","3","1","0","0.0939227","34","0","0","0","0","0","3","25","0","0","0","0","1","0","0","0","1","0","0","0","0","328","455","48","1","12","0","44","0","42","0","137","166","36","135","0","0","0","0","0","41","0","0","27","0","0","0","2","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"08d7a93a7ac840233080a7d566d4cd882226d2a5","org.mapdb.Queues","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0.5","3","3","1","0","0.0939227","34","0","0","0","0","0","3","25","0","0","0","0","1","0","0","0","1","0","0","0","0","328","455","48","1","12","0","44","0","42","0","137","166","36","135","0","0","0","0","0","41","0","0","27","0","0","0","2","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"e4992d529dfcc34c84d39a0c55abd3fa880e6ff9","org.mapdb.Queues","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","1","0.5","3","3","1","0","0.0964187","35","0","0","0","0","0","3","25","0","0","0","0","1","0","0","0","1","0","0","0","0","328","455","47","1","12","0","44","0","42","0","137","166","35","135","0","0","0","0","0","41","0","0","27","0","0","0","2","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
