"Hash","LongName","McCC","CLOC","PDA","PUA","LLOC","LOC","Number of Bugs"
"661c87b47ceca09488c047acb638362670e3ded0","runtime-testsuite/test/org/antlr/v4/test/runtime/descriptors/ParseTreesDescriptors.java","1","0","0","10","87","266","1"
"3cbc2af0cc1f1c97f518b11b74294fa9cce05078","runtime-testsuite/test/org/antlr/v4/test/runtime/descriptors/ParseTreesDescriptors.java","1","0","0","12","102","308","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","tool/test/org/antlr/v4/test/rt/java/TestLexerErrors.java","1","0","0","13","124","140","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","tool/test/org/antlr/v4/test/rt/java/TestFullContextParsing.java","1","0","0","16","186","208","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","tool/test/org/antlr/v4/test/rt/java/TestCompositeParsers.java","1","0","0","16","286","326","0"
"9519bfc36fcab155a4c37fbb32e5e83e02d58a6f","tool-testsuite/test/org/antlr/v4/test/tool/TestEscapeSequenceParsing.java","1","0","0","18","112","138","0"
"8af00801037d3b8933f29d0903daac3e9c05349e","tool-testsuite/test/org/antlr/v4/test/tool/TestEscapeSequenceParsing.java","1","0","0","18","112","139","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","tool/test/org/antlr/v4/test/tool/TestATNDeserialization.java","1","0","0","19","136","190","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","tool/test/org/antlr/v4/test/rt/gen/AbstractParserTestMethod.java","1","0","0","2","8","13","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","tool/test/org/antlr/v4/test/rt/gen/ParserTestMethod.java","1","0","0","2","9","14","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","tool/test/org/antlr/v4/test/rt/java/TestSets.java","1","0","0","23","200","227","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","tool/test/org/antlr/v4/test/tool/TestATNSerialization.java","1","0","0","23","681","738","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","tool/test/org/antlr/v4/test/rt/java/TestParserErrors.java","1","0","0","27","254","285","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","tool/test/org/antlr/v4/test/rt/java/TestSemPredEvalParser.java","1","0","0","27","394","427","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","tool/test/org/antlr/v4/test/rt/java/TestCompositeLexers.java","1","0","0","3","41","49","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","tool/test/org/antlr/v4/test/rt/java/TestParserExec.java","1","0","0","33","400","443","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","tool/test/org/antlr/v4/test/rt/java/TestLexerExec.java","1","0","0","39","4604","4648","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","tool/test/org/antlr/v4/test/rt/gen/ConcreteParserTestMethod.java","1","0","0","4","17","26","0"
"f143495ab2efb743c4c719546d8f3cc70b22df9d","tool/test/org/antlr/v4/test/TestCommonTokenStream.java","1","0","0","5","231","309","1"
"90071c69b850a0f3c79d7a67b3b51f51af61bb80","tool/test/org/antlr/v4/test/TestCommonTokenStream.java","1","0","0","5","232","310","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","tool/test/org/antlr/v4/test/tool/TestCommonTokenStream.java","1","0","0","5","234","312","0"
"7525bb6e1dd6d8f68796789dc5f48a6108e7fef6","runtime/Java/src/org/antlr/v4/runtime/DiagnosticErrorStrategy.java","1","0","0","5","47","83","1"
"507f331bd08bc01c213822508d18bbc4ba769db4","tool/test/org/antlr/v4/test/TestListeners.java","1","0","0","6","187","227","1"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","tool/test/org/antlr/v4/test/rt/java/TestSemPredEvalLexer.java","1","0","0","8","136","148","0"
"507f331bd08bc01c213822508d18bbc4ba769db4","tool/test/org/antlr/v4/test/TestSemPredEvalLexer.java","1","0","0","8","143","184","1"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","tool/test/org/antlr/v4/test/rt/java/TestListeners.java","1","0","0","8","206","219","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","tool/test/org/antlr/v4/test/rt/java/TestParseTrees.java","1","0","0","9","151","163","0"
"29c2712ae1eee9575324db48c2f72c7cb0d28308","tool/test/org/antlr/v4/test/rt/java/TestLeftRecursion.java","1","0","0","96","935","1052","0"
