"Hash","LongName","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of Bugs"
"034391f15be8f6a64ba90641ecaf7581941ff85e","com.redhat.ceylon.eclipse.code.navigator.CeylonElementSorter","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"c5c15a0b33245f13d9fc7d44db226c0458005f73","com.redhat.ceylon.eclipse.core.model.CeylonToJavaMatcher$ResolvedElements","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","10","10","2","0","2","0","1","2","1","0","1","2","2","1","0","10","10","2","0","2","0","1","2","1","0","1","2","2","1","0","0","0","0","2","3","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"7d7c0911e958671a6372053e3f567b7f003c7337","com.redhat.ceylon.eclipse.util.JavaSearch$DefaultArgumentMethodSearch$Result","0","0","0","0","0","0","0","0","0","0","0","1","0","3","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","15","15","4","0","4","0","1","4","1","0","1","4","4","1","0","15","15","4","0","4","0","1","4","1","0","1","4","4","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"a86d00c5b62291f3160751a033df6ac3dae95f72","com.redhat.ceylon.eclipse.code.hover.AnnotationHover$1$1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0.5","0.230769","3","3","1","1","0.113636","5","2","2","0","0","1","10","12","19","9","0","1","1","0","1","0","65","2","0","37","15","39","44","19","17","0","1","3","0","3","1","131","17","0","75","31","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35ce349663be9834d163e247bd7dc945cbc01a15","com.redhat.ceylon.eclipse.code.hover.AnnotationHover$1$1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0.5","0.25","3","3","1","1","0.166667","5","2","2","0","0","1","9","11","18","8","0","1","1","0","1","0","62","1","0","36","15","25","29","18","8","0","1","2","0","2","0","63","8","0","37","15","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"da78fdfd2969a9700141b483a425c3a64eaf9785","com.redhat.ceylon.eclipse.core.model.JDTModule$2","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","0","0","0","0","0","2","0","0","1","1","0","0","1","5","5","2","20","0","1","1","0","1","0","25","1","0","23","0","5","5","2","20","0","1","1","0","1","0","25","1","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89519750f096617996b145fcd5934d0406bac2c0","com.redhat.ceylon.eclipse.code.complete.RefinementCompletionProposal$1","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","1","2","0","0","0","0","0","2","0","0","1","1","0","0","1","6","6","0","1","0","1","1","0","1","0","1","1","0","1","0","6","6","0","1","0","1","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"f8f523d866e80dda8275be6d18e3cbc6d34fa743","com.redhat.ceylon.eclipse.code.complete.RefinementCompletionProposal$1","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","1","2","0","0","0","0","0","2","0","0","1","1","0","0","1","6","6","0","1","0","1","1","0","1","0","1","1","0","1","0","6","6","0","1","0","1","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6dc45ff3fafa8f0e59977c0291ddec7f97efaede","com.redhat.ceylon.eclipse.core.model.IdeUnit","0","0","0","0","0","0","0","0","0","0","0","1","2","7","10","1","2","0","0","0","0","0","2","0","0","1","1","2","11","1","5","5","0","2","0","1","1","0","1","0","2","1","0","2","0","5","5","0","2","0","1","1","0","1","0","2","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"bd3ee3c8a906f50b50e041545c19d63e346a9f59","com.redhat.ceylon.eclipse.core.builder.CompileErrorReporter$1","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","9","0","0","0","0","0","10","0","0","0","0","0","0","0","46","46","0","9","0","9","9","0","9","0","9","9","0","9","0","46","46","0","9","0","9","9","0","9","0","9","9","0","9","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3b51c69fb24029e45b3f29ea00b9df9d409bd970","com.redhat.ceylon.eclipse.core.builder.CompileErrorReporter$1","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","9","0","0","0","0","0","10","0","0","0","0","0","0","0","46","46","0","9","0","9","9","0","9","0","9","9","0","9","0","46","46","0","9","0","9","9","0","9","0","9","9","0","9","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"f8f523d866e80dda8275be6d18e3cbc6d34fa743","com.redhat.ceylon.eclipse.code.complete.CompletionProposal$IconImageRetriever","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","2","0","0","0","0","0","3","0","0","1","1","0","0","1","10","10","1","1","1","1","2","0","2","0","2","2","0","2","0","10","10","1","1","1","1","2","0","2","0","2","2","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89519750f096617996b145fcd5934d0406bac2c0","com.redhat.ceylon.eclipse.code.complete.CompletionProposal$IconImageRetriever","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","2","0","0","0","0","0","3","0","0","1","1","0","0","1","10","10","1","1","1","1","2","0","2","0","2","2","0","2","0","10","10","1","1","1","1","2","0","2","0","2","2","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"f8f523d866e80dda8275be6d18e3cbc6d34fa743","com.redhat.ceylon.eclipse.code.complete.CompletionProposal$FixedImageRetriever","0","0","0","0","0","0","0","0","0","0","0","2","1","7","9","0","2","0","0","0","0","0","3","0","0","1","1","0","0","1","10","10","1","1","1","1","2","0","2","0","2","2","0","2","0","10","10","1","1","1","1","2","0","2","0","2","2","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89519750f096617996b145fcd5934d0406bac2c0","com.redhat.ceylon.eclipse.code.complete.CompletionProposal$FixedImageRetriever","0","0","0","0","0","0","0","0","0","0","0","2","1","7","9","0","2","0","0","0","0","0","3","0","0","1","1","0","0","1","10","10","1","1","1","1","2","0","2","0","2","2","0","2","0","10","10","1","1","1","1","2","0","2","0","2","2","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89519750f096617996b145fcd5934d0406bac2c0","com.redhat.ceylon.eclipse.code.complete.CompletionProposal$DeclarationImageRetriever","0","0","0","0","0","0","0","0","0","0","0","2","2","1","1","1","3","0","0","0","0","0","3","0","0","1","1","0","0","1","10","10","1","1","1","1","2","0","2","0","2","2","0","2","0","10","10","1","1","1","1","2","0","2","0","2","2","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"f8f523d866e80dda8275be6d18e3cbc6d34fa743","com.redhat.ceylon.eclipse.code.complete.CompletionProposal$DeclarationImageRetriever","0","0","0","0","0","0","0","0","0","0","0","2","2","1","1","1","3","0","0","0","0","0","3","0","0","1","1","0","0","1","10","10","1","1","1","1","2","0","2","0","2","2","0","2","0","10","10","1","1","1","1","2","0","2","0","2","2","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
