"Hash","LongName","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of Bugs"
"b107a8dc7c32ed4f1c2863aa5e6bdf4a9b142c89","com.gmail.nossr50.events.fake.FakeBrewEvent","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","5","5","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3b05bb96e36af09bf58f84f3bd49938d7826d807","com.gmail.nossr50.events.chat.McMMOAdminChatEvent","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","2","0.5","0.375","3","3","1","1","0.375","3","1","1","0","0","1","5","5","6","6","0","0","1","0","1","0","12","1","0","11","3","5","5","6","6","0","0","1","0","1","0","12","1","0","11","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6b9f6c29ec312e23cebd9bc697462cd394b53c93","com.gmail.nossr50.events.fake.FakeEntityDamageEvent","0","0","0","0","0","0","0","0","0","0","0","2","0","2","2","0","2","0.333333","0.230769","3","3","1","2","0.230769","3","0","0","0","0","0","10","12","1","0","1","0","2","0","2","0","2","2","0","2","0","10","12","1","0","1","0","2","0","2","0","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6b9f6c29ec312e23cebd9bc697462cd394b53c93","com.gmail.nossr50.events.fake.FakeEntityDamageByEntityEvent","0","0","0","0","0","0","0","0","0","0","0","2","0","2","2","0","2","0.333333","0.230769","3","3","1","2","0.230769","3","0","0","0","0","0","10","12","1","0","1","0","2","0","2","0","2","2","0","2","0","10","12","1","0","1","0","2","0","2","0","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3b05bb96e36af09bf58f84f3bd49938d7826d807","com.gmail.nossr50.events.chat.McMMOPartyChatEvent","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1","1","3","0.666667","0.375","6","6","2","1","0.375","6","1","1","0","0","1","10","15","7","7","1","1","2","0","2","0","13","3","0","12","3","10","15","7","7","1","1","2","0","2","0","13","3","0","12","3","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"e9dcb3100278ae2ccb92598f8e05ace2ebd903e2","com.gmail.nossr50.events.chat.McMMOAdminChatEvent","0","0","0","0","0","0","0","0","0","0","0","2","1","1","1","2","4","0.333333","0.272727","3","3","1","2","0.272727","3","1","1","0","0","1","8","9","6","6","0","0","2","0","2","0","14","2","0","12","3","8","9","6","6","0","0","2","0","2","0","14","2","0","12","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"e9dcb3100278ae2ccb92598f8e05ace2ebd903e2","com.gmail.nossr50.events.chat.McMMOPartyChatEvent","0","0","0","0","0","0","0","0","0","0","0","3","1","1","1","2","5","0.5","0.3","6","6","2","2","0.3","6","1","1","0","0","1","14","20","7","7","1","1","3","0","3","0","15","5","0","13","3","14","20","7","7","1","1","3","0","3","0","15","5","0","13","3","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87df536a1f09da85c98252e3d22938ac2e15f6ca","com.gmail.nossr50.events.experience.McMMOPlayerLevelUpEvent","0","0","0","0","0","0","0","0","0","0","0","4","2","2","1","1","5","0.6","0.37037","10","10","3","2","0.37037","10","1","1","0","0","1","17","28","5","5","1","1","4","0","4","1","11","6","0","10","2","17","28","5","5","1","1","4","0","4","1","11","6","0","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"a2f80569e30fdd181a811b1c17d4b221b49bda00","com.gmail.nossr50.events.experience.McMMOPlayerLevelUpEvent","0","0","0","0","0","0","0","0","0","0","0","4","2","5","4","1","5","0.6","0.37037","10","10","3","2","0.37037","10","1","1","0","0","1","17","28","5","5","1","1","4","0","4","1","11","6","0","10","2","17","28","5","5","1","1","4","0","4","1","11","6","0","10","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8cf16d4a1c57be03f9b1bbe5c25e6a4f21cd2494","com.gmail.nossr50.listeners.InventoryListener$1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","6","6","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3b05bb96e36af09bf58f84f3bd49938d7826d807","com.gmail.nossr50.events.chat.McMMOChatEvent","0","0","0","0","0","0","0","0","1","0","0","11","0","3","4","0","11","0.636364","0.294118","20","20","7","4","0.294118","20","0","0","2","2","0","48","80","6","6","6","6","11","0","10","3","11","15","0","10","3","48","80","6","6","6","6","11","0","10","3","11","15","0","10","3","0","0","0","0","4","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"e9dcb3100278ae2ccb92598f8e05ace2ebd903e2","com.gmail.nossr50.events.chat.McMMOChatEvent","0","0","0","0","0","0","0","0","1","0","0","12","0","3","6","0","12","0.636364","0.27027","20","20","7","4","0.27027","20","0","0","2","2","0","54","87","6","6","6","6","12","0","10","3","12","19","0","10","3","54","87","6","6","6","6","12","0","10","3","12","19","0","10","3","0","0","0","0","4","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"2ca7d139fe2d73d9b0c88bee1cdd4a652e199ae1","com.gmail.nossr50.runnables.commands.MctopCommandAsyncTask","0","0","0","0","0","0","0","0","1","0","0","2","4","1","1","4","6","0","0","0","0","0","3","0","0","0","0","0","0","0","16","20","3","0","3","0","2","0","2","0","2","6","0","2","0","16","20","3","0","3","0","2","0","2","0","2","6","0","2","0","0","0","0","2","4","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"7e67505dfbc714b85abe4b7b762e245f2b173c75","com.gmail.nossr50.runnables.commands.MctopCommandAsyncTask","0","0","0","0","0","0","0","0","1","0","0","2","4","1","1","4","6","0","0","0","0","0","3","0","0","0","0","0","0","0","16","21","3","0","3","0","2","0","2","0","2","6","0","2","0","16","21","3","0","3","0","2","0","2","0","2","6","0","2","0","0","0","0","2","4","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1"
