"Hash","LongName","McCC","CLOC","PDA","PUA","LLOC","LOC","Number of Bugs"
"0096aa118a7bcf9db9468f625a911b615c3b2691","enterprise/cluster/src/main/java/org/neo4j/cluster/protocol/atomicbroadcast/multipaxos/context/AbstractContextImpl.java","1","0","0","0","100","141","1"
"cca9e04725e7ae20ba97e57506c0a33d2bdf691c","enterprise/causal-clustering/src/main/java/org/neo4j/causalclustering/core/consensus/roles/Pruning.java","1","0","0","0","11","33","0"
"868b4d731485023d2f7477e1133dcd5b263c851d","community/lucene-index/src/test/java/org/neo4j/index/impl/lucene/CloseTrackingIndexReader.java","1","0","0","0","125","178","0"
"1f22cd0deabcf1e618e4053524cdbfea4940c059","enterprise/core-edge/src/main/java/org/neo4j/coreedge/discovery/CoreTopologyListenerService.java","1","0","0","0","15","39","1"
"0da6dae6f2ecbbab9a278f3757ef793cbe8d921f","enterprise/ha/src/main/java/org/neo4j/kernel/ha/cluster/DefaultMasterImplSPI.java","1","0","0","0","157","200","1"
"d94daacb45225945a8ab3285f791f8ef58f943b0","enterprise/ha/src/main/java/org/neo4j/kernel/ha/cluster/DefaultMasterImplSPI.java","1","0","0","0","159","202","0"
"4e13feaa5058f4f1b623704bbde288b5850c1ec6","enterprise/security/src/test/java/org/neo4j/commandline/admin/security/RolesCommandTestBase.java","1","0","0","0","20","45","0"
"21dc057a8a68245281a22d7bdb8da5ae2103f057","enterprise/core-edge/src/main/java/org/neo4j/coreedge/raft/net/ReplicatedLockTokenSerializer.java","1","0","0","0","22","47","0"
"7b890cea4f0be50e697d6ba272edb6b74b84e373","enterprise/security/src/test/java/org/neo4j/commandline/admin/security/RolesCommandTestBase.java","1","0","0","0","25","51","1"
"7b890cea4f0be50e697d6ba272edb6b74b84e373","community/security/src/test/java/org/neo4j/commandline/admin/security/UsersCommandTestBase.java","1","0","0","0","25","52","1"
"4e13feaa5058f4f1b623704bbde288b5850c1ec6","community/security/src/test/java/org/neo4j/commandline/admin/security/UsersCommandTestBase.java","1","0","0","0","26","53","0"
"d693165ae77cf119824aaa7a53ac45b466b15c24","stresstests/src/test/java/org/neo4j/coreedge/stresstests/ClusterConfiguration.java","1","0","0","0","32","58","1"
"dffaacf551b9213f1b818976724f11748a16a674","stresstests/src/test/java/org/neo4j/coreedge/stresstests/ClusterConfiguration.java","1","0","0","0","37","64","0"
"b070962e9b00726d50df951106225fa252b7efeb","community/kernel/src/main/java/org/neo4j/kernel/impl/api/security/WrappedAccessMode.java","1","0","0","0","38","70","0"
"886dbb454deaae6adcb4ff26e76f6e225eedca55","enterprise/core-edge/src/main/java/org/neo4j/coreedge/raft/log/segmented/CoreLogPruningStrategy.java","1","0","0","0","5","37","0"
"1f22cd0deabcf1e618e4053524cdbfea4940c059","enterprise/core-edge/src/test/java/org/neo4j/coreedge/discovery/SharedDiscoveryCoreClient.java","1","0","0","0","72","104","1"
"a773f11325b96d4ef22538f3ceaa1cf81ea24560","enterprise/core-edge/src/main/java/org/neo4j/coreedge/catchup/TrackingResponseHandler.java","1","0","0","0","81","115","1"
"886dbb454deaae6adcb4ff26e76f6e225eedca55","enterprise/core-edge/src/main/java/org/neo4j/coreedge/raft/log/segmented/NoPruningPruningStrategy.java","1","0","0","0","9","30","0"
"b3fe6de9253014a4e84eb42f64e80e236e1b9f43","enterprise/cluster/src/main/java/org/neo4j/cluster/protocol/atomicbroadcast/multipaxos/context/AbstractContextImpl.java","1","0","0","0","98","138","0"
"269c1c2fa4ded11eb10584c2c5fa55b710cdb1b7","enterprise/server-enterprise/src/test/java/org/neo4j/server/enterprise/EnterpriseBootstrapperTest.java","1","0","0","1","11","33","1"
"a93c570faa774c1a40b635b6a3e6d8ccb61a99e8","community/lucene-index/src/test/java/org/neo4j/kernel/api/impl/index/LuceneSchemaIndexProviderTest.java","1","0","0","1","11","33","1"
