"Hash","LongName","McCC","CLOC","PDA","PUA","LLOC","LOC","Number of Bugs"
"ac6ba2add76a1f3d3aaa40429729ec87cfad1e1b","core/src/main/java/com/orientechnologies/orient/core/index/hashindex/local/cache/WriteGroup.java","1","0","0","0","10","38","1"
"39a8884d03c0bc49b8ecf655a22fe80646afa1e6","spatial/src/test/java/com/orientechnologies/lucene/test/geo/LuceneSpatialPointTest.java","1","0","0","0","105","166","0"
"b43eac5ee4b92c9327f3596c5c1986a6c29e1dfb","core/src/main/java/com/orientechnologies/orient/core/index/hashindex/local/cache/PageGroup.java","1","0","0","0","11","39","0"
"d59e47612a51e132c8452d80410acaa016f63457","core/src/test/java/com/orientechnologies/orient/core/sql/method/misc/TestIterable.java","1","0","0","0","13","23","0"
"39a8884d03c0bc49b8ecf655a22fe80646afa1e6","spatial/src/test/java/com/orientechnologies/lucene/test/geo/functions/LuceneSpatialMiscFunctionsTest.java","1","0","0","0","134","196","0"
"39a8884d03c0bc49b8ecf655a22fe80646afa1e6","spatial/src/test/java/com/orientechnologies/lucene/test/geo/LuceneSpatialIOTest.java","1","0","0","0","186","274","0"
"f05390b3bc41366ae0ee7f0d09d30d4e315bd8df","core/src/main/java/com/orientechnologies/common/directmemory/ODirectMemoryFactory.java","1","0","0","0","24","56","1"
"39a8884d03c0bc49b8ecf655a22fe80646afa1e6","spatial/src/test/java/com/orientechnologies/lucene/test/geo/LuceneGeoUpdateTest.java","1","0","0","0","27","62","0"
"39a8884d03c0bc49b8ecf655a22fe80646afa1e6","spatial/src/test/java/com/orientechnologies/lucene/test/geo/LuceneSpatialClassCreateTest.java","1","0","0","0","29","66","0"
"01aa9d1932d4b43327899b3d5e0219caf6fdfb1d","core/src/main/java/com/orientechnologies/common/directmemory/ODirectMemoryFactory.java","1","0","0","0","33","68","0"
"39a8884d03c0bc49b8ecf655a22fe80646afa1e6","spatial/src/test/java/com/orientechnologies/lucene/test/geo/LuceneSpatialMultiLineStringTest.java","1","0","0","0","43","81","0"
"39a8884d03c0bc49b8ecf655a22fe80646afa1e6","spatial/src/test/java/com/orientechnologies/lucene/test/geo/functions/LuceneSpatialIntersectsTest.java","1","0","0","0","43","82","0"
"39a8884d03c0bc49b8ecf655a22fe80646afa1e6","spatial/src/test/java/com/orientechnologies/lucene/test/geo/functions/LuceneSpatialDWithinTest.java","1","0","0","0","45","89","0"
"39a8884d03c0bc49b8ecf655a22fe80646afa1e6","spatial/src/test/java/com/orientechnologies/lucene/test/geo/functions/LuceneSpatialContainsTest.java","1","0","0","0","52","92","0"
"39a8884d03c0bc49b8ecf655a22fe80646afa1e6","spatial/src/test/java/com/orientechnologies/lucene/test/geo/functions/LuceneSpatialWithinTest.java","1","0","0","0","58","98","0"
"39a8884d03c0bc49b8ecf655a22fe80646afa1e6","spatial/src/test/java/com/orientechnologies/lucene/test/geo/LuceneSpatialPolygonTest.java","1","0","0","0","66","113","0"
