"Hash","LongName","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of Bugs"
"ba899dd5f05492b8c6e3e410d6a833c63392bf63","com.cloudera.oryx.lambda.serving.SecureAPIConfigIT$1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","6","6","0","1","0","1","1","0","0","0","1","1","0","0","0","6","6","0","1","0","1","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27e9046b2bd92243c260efd8bcd0af46b92bdf9e","com.cloudera.oryx.app.serving.kmeans.Console","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0.272727","3","3","1","0","0.272727","3","1","1","0","0","1","8","8","1","2","0","1","1","0","0","0","3","1","0","2","0","8","8","1","2","0","1","1","0","0","0","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27e9046b2bd92243c260efd8bcd0af46b92bdf9e","com.cloudera.oryx.app.serving.rdf.Console","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0.272727","3","3","1","0","0.272727","3","1","1","0","0","1","8","8","1","2","0","1","1","0","0","0","3","1","0","2","0","8","8","1","2","0","1","1","0","0","0","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27e9046b2bd92243c260efd8bcd0af46b92bdf9e","com.cloudera.oryx.app.serving.als.Console","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0.272727","3","3","1","0","0.272727","3","1","1","0","0","1","8","8","1","2","0","1","1","0","0","0","3","1","0","2","0","8","8","1","2","0","1","1","0","0","0","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"d16f89b25fc5e12f94af6432274c66e0394c1743","com.cloudera.oryx.app.serving.rdf.Console","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0.3","3","3","1","0","0.3","3","1","1","0","0","1","7","7","1","2","0","1","1","0","0","0","3","1","0","2","0","7","7","1","2","0","1","1","0","0","0","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"d16f89b25fc5e12f94af6432274c66e0394c1743","com.cloudera.oryx.app.serving.als.Console","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0.3","3","3","1","0","0.3","3","1","1","0","0","1","7","7","1","2","0","1","1","0","0","0","3","1","0","2","0","7","7","1","2","0","1","1","0","0","0","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"d16f89b25fc5e12f94af6432274c66e0394c1743","com.cloudera.oryx.app.serving.kmeans.Console","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","1","0.3","3","3","1","0","0.3","3","1","1","0","0","1","7","7","1","2","0","1","1","0","0","0","3","1","0","2","0","7","7","1","2","0","1","1","0","0","0","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27e9046b2bd92243c260efd8bcd0af46b92bdf9e","com.cloudera.oryx.app.serving.rdf.FeatureImportance","0","0","0","0","0","0","0","0","0","1","1","4","5","0","0","4","6","0.333333","0.342105","13","13","1","2","0.342105","13","2","2","0","0","1","25","28","7","5","0","2","2","0","2","0","14","10","2","3","0","25","28","7","5","0","2","2","0","2","0","14","10","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"d16f89b25fc5e12f94af6432274c66e0394c1743","com.cloudera.oryx.app.serving.rdf.FeatureImportance","0","0","0","0","0","0","0","0","0","1","1","4","5","0","0","4","6","0.333333","0.351351","13","13","1","2","0.351351","13","2","2","0","0","1","24","27","7","5","0","2","2","0","2","0","14","10","2","3","0","24","27","7","5","0","2","2","0","2","0","14","10","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"eff199ff1f6cad1b4ff13829dfb29ff4884d4c31","com.cloudera.oryx.app.batch.mllib.kmeans.AbstractKMeansEvaluation$1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","8","9","0","0","0","0","1","0","1","0","1","3","0","1","0","8","9","0","0","0","0","1","0","1","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
