"Hash","LongName","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of Bugs"
"91e762bccc8de3a1b2ef2dea53d22bc3f56c7905","com.thinkaurelius.titan.diskstorage.es.ElasticSearchConstants","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","15","20","3","0","3","0","0","2","0","0","0","0","2","0","0","15","20","3","0","3","0","0","2","0","0","0","0","2","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","0"
"8d5f50cefca0d20892cc6621c5b53cd463a4a2f8","com.thinkaurelius.titan.graphdb.configuration.TitanConstants","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0.289474","11","11","1","0","0.289474","11","0","0","0","0","0","27","47","3","0","3","0","0","3","0","0","0","0","3","0","0","27","47","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","0","7","2","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","1"
"7bd3abf6dc65777cab11eb9cbd0f5a95b5d3e8fb","com.thinkaurelius.titan.graphdb.configuration.TitanConstants","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0.289474","11","11","1","0","0.289474","11","0","0","0","0","0","27","48","3","0","3","0","0","3","0","0","0","0","3","0","0","27","48","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","0","7","2","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0"
"435f046bb1458cb3bca932c63339bed05163cbcf","com.thinkaurelius.titan.graphdb.tinkerpop.plugin.TitanGremlinPlugin$1","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","12","14","0","0","0","0","0","0","0","0","0","0","0","0","0","12","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"f9e32000a7dbaf17b3bfe88072424aae4a6fad31","com.thinkaurelius.titan.graphdb.tinkerpop.plugin.TitanGremlinPlugin$1","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","13","15","0","0","0","0","0","0","0","0","0","0","0","0","0","13","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65361de5ecc2f63e0a69dbcd1370847c800b5cc7","com.thinkaurelius.titan.diskstorage.lucene.LuceneBerkeleyDBTest","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","3","5","0.333333","0.263158","5","3","1","2","0.263158","5","2","2","0","0","1","14","21","7","1","0","1","2","0","2","0","22","8","7","21","1","14","21","7","1","0","1","2","0","2","0","22","8","7","21","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"c7ac478437665f6989f9925b4198f0effcba94a3","com.thinkaurelius.titan.diskstorage.lucene.LuceneBerkeleyDBTest","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","3","5","0.333333","0.263158","5","3","1","2","0.263158","5","2","2","0","0","1","14","21","7","1","0","1","2","0","2","0","22","8","7","21","1","14","21","7","1","0","1","2","0","2","0","22","8","7","21","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"15132b905deeab35d12be7213e6046ee5039c489","com.thinkaurelius.titan.diskstorage.es.ElasticSearchConstants","0","0","0","0","0","0","0","0","0","1","1","5","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","35","44","3","1","3","1","1","2","0","0","1","11","2","0","0","35","44","3","1","3","1","1","2","0","0","1","11","2","0","0","0","0","0","11","1","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","6","0","1"
"a1e70246868f0fc9e3e6e1bd454f2b0b13170c3b","com.thinkaurelius.titan.util.interval.IntervalUtil","0","0","0","0","0","0","0","0","0","1","1","7","4","1","1","3","4","0.5","0.130435","3","3","1","1","0.130435","3","0","0","0","0","0","20","24","0","1","0","1","1","0","1","0","1","8","0","1","0","20","24","0","1","0","1","1","0","1","0","1","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"5bbc7807c15d0918a7d228998f5ad333649945f3","com.thinkaurelius.titan.graphdb.types.system.SystemTypeManager","0","0","0","0","0","0","0","0","0","2","2","5","4","4","1","3","4","0","0.0384615","1","0","0","2","0.0384615","1","0","0","0","0","0","25","34","4","1","4","1","1","3","1","0","1","12","3","1","0","25","34","4","1","4","1","1","3","1","0","1","12","3","1","0","0","1","0","0","13","0","0","1","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0"
