"Hash","LongName","McCC","CLOC","PDA","PUA","LLOC","LOC","Number of Bugs"
"56f4df896682733c9979b348e46ba77494851304","library/src/com/nostra13/universalimageloader/core/ImageLoadingInfo.java","1","0","0","0","24","54","0"
"dcb5e7982e71f76bf5aac5830e18c713839ff478","library/src/com/nostra13/universalimageloader/core/ImageLoadingInfo.java","1","0","0","0","26","56","1"
"dcb5e7982e71f76bf5aac5830e18c713839ff478","library/src/com/nostra13/universalimageloader/core/display/FakeBitmapDisplayer.java","1","0","1","1","12","40","1"
"a3a6db9ef3531b23100e8f786d87dcba833c60f8","library/src/com/nostra13/universalimageloader/core/download/HttpClientImageDownloader.java","1","0","1","1","24","53","0"
"300a0ea2f23b836dedeaf92774a2586e98e720b9","library/src/com/nostra13/universalimageloader/core/download/HttpClientImageDownloader.java","1","0","1","1","25","54","1"
"f82bf5665e11c3f59118e52aa63f7da17cc517c1","library/test/com/nostra13/universalimageloader/core/assist/ImageSizeTest.java","1","0","1","7","128","165","1"
"7e71df151523f46bf412cd16b4dc377727af6534","library/test/com/nostra13/universalimageloader/core/assist/ImageSizeTest.java","1","0","1","7","140","179","0"
"a89a6cd4aaf575e44f1666785c452c83b60ac76e","UniversalImageLoader/src/com/nostra13/universalimageloader/core/DisplayImageOptions.java","1","0","11","0","92","181","0"
"f976103a9d8c3ce755e31017750aaa4a8519d566","UniversalImageLoader/src/com/nostra13/universalimageloader/core/DisplayImageOptions.java","1","0","12","0","102","195","0"
"3d15b9472ead9087cb8290040b35990d1c299ec6","library/src/com/nostra13/universalimageloader/core/DisplayImageOptions.java","1","0","18","0","180","327","1"
"39558a3d69f4d297258e8035e0f9c17801c726d7","library/src/com/nostra13/universalimageloader/core/DisplayImageOptions.java","1","0","18","0","184","331","0"
"300a0ea2f23b836dedeaf92774a2586e98e720b9","library/src/com/nostra13/universalimageloader/core/download/ImageDownloader.java","1","0","2","0","14","59","1"
"dcb5e7982e71f76bf5aac5830e18c713839ff478","library/src/com/nostra13/universalimageloader/core/display/BitmapDisplayer.java","1","0","2","0","7","42","1"
"56f4df896682733c9979b348e46ba77494851304","library/src/com/nostra13/universalimageloader/core/display/BitmapDisplayer.java","1","0","2","0","7","47","0"
"56f4df896682733c9979b348e46ba77494851304","library/src/com/nostra13/universalimageloader/core/imageaware/ImageAware.java","1","0","9","0","15","89","0"
"a3a6db9ef3531b23100e8f786d87dcba833c60f8","library/src/com/nostra13/universalimageloader/core/download/BaseImageDownloader.java","10","0","1","3","101","208","0"
"f641933a6ca867223017abaca7bcd1758a246963","library/src/com/nostra13/universalimageloader/cache/disc/LimitedDiscCache.java","10","0","3","3","96","154","0"
"e8f9ebc38e6c3fc076355f6a942d559e14631e6f","UniversalImageLoader/src/com/nostra13/universalimageloader/utils/StorageUtils.java","10","0","4","0","58","102","1"
"0c4981a73d5f8c9cf68bf62c168ef8e82cf6d147","library/src/com/nostra13/universalimageloader/core/DefaultConfigurationFactory.java","10","0","9","0","106","162","0"
"56f4df896682733c9979b348e46ba77494851304","library/src/com/nostra13/universalimageloader/core/DefaultConfigurationFactory.java","10","0","9","0","98","150","0"
