"Hash","LongName","McCC","CLOC","PDA","PUA","LLOC","LOC","Number of Bugs"
"28c29c993d37f222bc59daf04799764a6d2b199b","admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/web/form/component/DefaultListGridActions.java","1","0","0","1","28","55","2"
"58d8258a56593bc913efa9aa60d0ca5f8f173bd8","common/src/main/java/org/broadleafcommerce/common/extension/ExtensionResultStatusType.java","1","0","0","1","7","56","0"
"8bafebee81bdbf1eecc3a9ddeaa995798fed0b74","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/catalog/domain/FeaturedProductImpl.java","1","0","0","12","94","133","0"
"8bafebee81bdbf1eecc3a9ddeaa995798fed0b74","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/catalog/domain/CrossSaleProductImpl.java","1","0","0","13","102","141","0"
"2958e6ba93799ca6858a34889a2668cd1ce9fb81","core/broadleaf-profile/src/main/java/org/broadleafcommerce/profile/core/domain/CustomerPaymentImpl.java","1","0","0","13","123","163","1"
"016c217175392f8c6e3a7b474904986cf9c8ece1","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/order/dao/OrderDao.java","1","0","0","13","19","55","1"
"2958e6ba93799ca6858a34889a2668cd1ce9fb81","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/order/dao/OrderDao.java","1","0","0","13","19","60","1"
"34682289a3be1f350cf132998f1a4315a3c62b91","admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/web/form/entity/DynamicEntityFormInfo.java","1","0","0","13","47","80","0"
"1c1207650f20f502eb97fcc72152b1aeaaea215c","admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/web/form/entity/DynamicEntityFormInfo.java","1","0","0","13","48","85","1"
"832701924183bbf8da0a2c6ae41a68d175050475","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/order/dao/OrderDao.java","1","0","0","14","20","57","1"
"f0a43a10b18a55908684479d3eadcb3822d3cd60","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/workflow/BaseActivity.java","1","0","0","16","72","110","0"
"cd4dba4517e56b14042e5ed1567e933ca3904efd","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/workflow/BaseActivity.java","1","0","0","16","72","111","0"
"b75b9bf7592f69b51cbc38e491d3afba77bb1747","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/store/domain/Store.java","1","0","0","17","22","55","0"
"0b82dddef8d8a719cf608eae326d394cb23b6218","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/offer/domain/OfferCode.java","1","0","0","17","25","62","2"
"f0a43a10b18a55908684479d3eadcb3822d3cd60","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/pricing/service/workflow/ShippingOfferActivity.java","1","0","0","2","16","39","0"
"5dc5ca4517a0c4c07daebe5b694c8cf563b64dbc","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/checkout/service/workflow/CompleteOrderActivity.java","1","0","0","2","17","41","1"
"f0a43a10b18a55908684479d3eadcb3822d3cd60","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/order/service/workflow/update/UpdateFulfillmentGroupItemActivity.java","1","0","0","2","17","42","0"
"f0a43a10b18a55908684479d3eadcb3822d3cd60","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/pricing/service/workflow/OfferActivity.java","1","0","0","2","19","44","0"
"54781449d3c278637cc5cdf582c6b56f43f62b52","integration/src/test/java/org/broadleafcommerce/core/checkout/service/CheckoutTest.java","1","0","0","2","234","307","0"
"e33b50d3c1b2eb9deee9f9308588dbd1380e241e","core/broadleaf-framework/src/test/java/org/broadleafcommerce/core/catalog/domain/CategoryImplTest.java","1","0","0","2","33","68","0"
"54781449d3c278637cc5cdf582c6b56f43f62b52","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/order/service/workflow/add/AddOrderItemActivity.java","1","0","0","2","34","71","0"
"cd37faae7965d45206e2bc8eb7531154fc919cc2","core/broadleaf-profile/src/main/java/org/broadleafcommerce/profile/core/dao/IdGenerationDao.java","1","0","0","2","6","28","1"
"4b899b0b30679392365b1286b26fd502eee6594c","admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/server/service/persistence/PersistenceManager.java","1","0","0","20","36","77","1"
"e216da5ebb303680f5c60ffcd75979f5876ab5a6","admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/server/service/persistence/PersistenceManager.java","1","0","0","21","35","79","0"
"854b43917ca9c48eb47e129833add3a92f413ff6","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/store/domain/Store.java","1","0","0","23","26","56","0"
"062222dcb20687fb800579a945528ef362dda7d6","core/broadleaf-framework-web/src/main/java/org/broadleafcommerce/core/web/checkout/validator/USShippingInfoFormValidator.java","1","0","0","3","15","39","0"
"20250624be4a1717de8e2d8a4c5f1dfa8cd4a8aa","core/broadleaf-framework-web/src/main/java/org/broadleafcommerce/core/web/checkout/validator/USShippingInfoFormValidator.java","1","0","0","3","16","40","0"
"14d2bad074311e7279f59a64b76e4670ee10de6e","common/src/main/java/org/broadleafcommerce/common/util/xml/ISO8601DateAdapter.java","1","0","0","3","17","44","0"
"8c1a556e757930d28794dfc671aa31e5aa2c736f","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/checkout/service/workflow/CompleteOrderActivity.java","1","0","0","3","19","45","0"
"cd4dba4517e56b14042e5ed1567e933ca3904efd","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/order/service/workflow/AddWorkflowVerifyFulfillmentGroupItemsActivity.java","1","0","0","3","22","50","0"
"cd4dba4517e56b14042e5ed1567e933ca3904efd","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/pricing/service/workflow/ShippingOfferActivity.java","1","0","0","3","23","50","0"
"cd4dba4517e56b14042e5ed1567e933ca3904efd","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/order/service/workflow/remove/RemoveFulfillmentGroupItemActivity.java","1","0","0","3","23","51","0"
"a343e56c87e4fe2ebf6240e6c8beac61787baabe","core/broadleaf-profile-web/src/main/java/org/broadleafcommerce/profile/web/core/security/CustomerStateFilter.java","1","0","0","3","27","67","1"
"d88e733a8dbc789503cd381fc455b08b323d49a9","core/broadleaf-framework-web/src/main/java/org/broadleafcommerce/core/web/order/security/CartStateFilter.java","1","0","0","3","31","71","0"
"bd7a5b556a8832d9eb09ed747b172766c6aae4c4","core/broadleaf-profile-web/src/main/java/org/broadleafcommerce/profile/web/core/security/CustomerStateFilter.java","1","0","0","3","34","76","0"
"cc27ca5eb562d4bd0791a8ddff07461cc7725ed1","core/broadleaf-profile/src/main/java/org/broadleafcommerce/profile/core/dao/IdGenerationDao.java","1","0","0","3","7","30","0"
"024e2cd7532a2662f5a6bf6f21876f03bcbccb0a","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/payment/domain/PaymentInfo.java","1","0","0","32","44","95","2"
"082ec1011974dff9892bc33f90607bc7f2fa7aca","core/broadleaf-framework-web/src/main/java/org/broadleafcommerce/core/web/order/security/exception/OrderLockAcquisitionFailureException.java","1","0","0","4","16","42","0"
"4fb0cb0d56c6127bc9c41d4814f59f9041a7d338","core/broadleaf-profile-web/src/main/java/org/broadleafcommerce/profile/web/core/service/login/LoginServiceImpl.java","1","0","0","4","47","77","0"
"cd4dba4517e56b14042e5ed1567e933ca3904efd","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/checkout/service/workflow/CompleteOrderActivity.java","1","0","0","4","50","83","0"
"663f9520dacb59459f8033c8736be33d9fc3d58d","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/search/dao/FieldDaoImpl.java","1","0","0","4","53","86","0"
"4fb0cb0d56c6127bc9c41d4814f59f9041a7d338","core/broadleaf-profile-web/src/main/java/org/broadleafcommerce/profile/web/core/service/login/LoginService.java","1","0","0","4","8","29","0"
"4a2770ad7b1c8d244b026f013ac6cc58ca65cb61","core/broadleaf-profile/src/main/java/org/broadleafcommerce/profile/core/dao/RoleDao.java","1","0","0","4","9","36","0"
"b8d645d805691dea60f36eefe3dcaa9595d2f01c","core/broadleaf-profile/src/main/java/org/broadleafcommerce/profile/core/dao/RoleDao.java","1","0","0","5","10","35","0"
"fc96cd617dc6f16a02dfe01f95486da731a6cd13","common/src/main/java/org/broadleafcommerce/common/weave/ConditionalFieldAnnotationCopyTransformMemberDTO.java","1","0","0","5","19","46","0"
"1027662ed7db094c0911fe6d491c00b5ff8e7925","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/inventory/service/AbstractInventoryServiceExtensionHandler.java","1","0","0","5","25","51","1"
"a2c4f2505ace4aa0175753c7b77c5e834b79456f","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/catalog/dao/ProductOptionDaoImpl.java","1","0","0","5","35","63","1"
"4a2770ad7b1c8d244b026f013ac6cc58ca65cb61","core/broadleaf-profile/src/main/java/org/broadleafcommerce/profile/core/dao/RoleDaoImpl.java","1","0","0","5","36","65","0"
"1e8b29ba6d27d72811406cce7db53ed3fa903475","core/broadleaf-framework-web/src/main/java/org/broadleafcommerce/core/web/checkout/service/CheckoutFormService.java","1","0","0","6","14","39","0"
"0b7138a2f45e718d9ed1b1808581fd2714e53f4a","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/inventory/service/AbstractInventoryServiceExtensionHandler.java","1","0","0","6","30","57","0"
"1d6d9e9d14cd95417746ef0404084f9e3346758f","integration/src/test/java/org/broadleafcommerce/core/offer/service/CreateOfferUtility.java","1","0","0","6","59","84","0"
"0b82dddef8d8a719cf608eae326d394cb23b6218","core/broadleaf-framework/src/main/java/org/broadleafcommerce/core/offer/dao/OfferAuditDao.java","1","0","0","6","9","32","2"
"4d3ad41d12d95fb5e4d3eaf11a18110ca5075029","common/src/main/java/org/broadleafcommerce/common/config/service/ModuleConfigurationServiceImpl.java","1","0","0","7","38","67","1"
"7b5f922cdc1b0f1410c3c2216452decf7270dcdc","common/src/main/java/org/broadleafcommerce/common/config/service/ModuleConfigurationServiceImpl.java","1","0","0","7","40","69","0"
