"Hash","LongName","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of Bugs"
"c51c585e19c0ee09920cb84aebf4039dd9691380","gov.nasa.arc.mct.fastplot.bridge.PlotConstants","0","0","0","0","0","0","0","0","0","0","0","0","4","45","0","1","1","0","0.245509","41","31","0","1","0.238908","70","0","0","0","0","0","126","227","123","0","123","0","0","121","0","0","0","0","121","0","0","223","338","169","4","169","4","12","162","10","0","12","17","162","10","0","0","0","0","0","12","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0"
"c51c585e19c0ee09920cb84aebf4039dd9691380","gov.nasa.arc.mct.fastplot.scatter.ScatterPlot$PlotLineWrapper","0","0","0","0","0","0","0","0","1","0","0","6","4","1","1","4","10","0","0","0","0","0","7","0","0","1","1","0","0","1","28","35","2","2","2","2","6","0","6","1","6","7","0","6","1","28","35","2","2","2","2","6","0","6","1","6","7","0","6","1","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"00a1a4e44d41db0509178e7acb449101cb47231f","gov.nasa.arc.mct.fastplot.scatter.ScatterPlot$PlotLineWrapper","0","0","0","0","0","0","0","0","1","1","1","11","4","1","1","6","16","0","0","0","0","0","11","0","0","1","1","0","0","1","46","57","2","2","2","2","10","0","10","1","10","14","0","10","1","46","57","2","2","2","2","10","0","10","1","10","14","0","10","1","0","0","0","0","4","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8258a874558fb0fab19d7d3c0f101545bdb26038","gov.nasa.arc.mct.canvas.view.PanelInspector$WidgetTransferHandler","0","0","0","0","0","0","0","0","1","1","1","3","3","1","0","1","3","0","0","0","0","0","2","0","0","0","0","0","0","0","14","15","0","1","0","1","2","0","1","0","2","4","0","1","0","14","15","0","1","0","1","2","0","1","0","2","4","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"05f1a5bde8b837c289f84409f3c5189938aaf581","gov.nasa.arc.mct.canvas.view.PanelInspector$WidgetTransferHandler","0","0","0","0","0","0","0","0","1","1","1","4","3","1","0","1","3","0","0","0","0","0","2","0","0","0","0","0","0","0","14","15","0","1","0","1","2","0","1","0","2","4","0","1","0","14","15","0","1","0","1","2","0","1","0","2","4","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"e247325ef58aef95b91f44637f80a0dc0b003788","gov.nasa.arc.mct.identitymgr.impl.DefaultIdentityManager","0","0","0","0","0","0","0","0","1","2","2","11","6","2","6","7","9","0.666667","0.4","18","12","2","1","0.4","18","2","2","0","0","1","27","41","3","2","1","0","2","0","2","0","4","15","0","4","0","27","41","3","2","1","0","2","0","2","0","4","15","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"2bf3c8b935f950b0c993fc183d2f75fe422cbb6f","org.acme.example.view.ShowChildrenInTableView","0","0","0","0","0","0","0","0","1","2","2","15","11","3","0","13","23","0.545455","0.324324","36","27","6","5","0.195572","53","3","4","0","0","1","75","132","19","16","4","1","10","0","10","0","59","31","3","49","5","218","310","30","21","15","6","27","0","26","3","76","98","3","65","8","0","0","0","0","8","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"4b928a3e7866920c5fe1cb5f34b82d667b840e21","org.acme.example.view.ShowChildrenInTableView","0","0","0","0","0","0","0","0","1","2","2","15","11","3","0","13","23","0.545455","0.327273","36","27","6","5","0.196296","53","3","4","0","0","1","74","131","19","16","4","1","10","0","10","0","59","30","3","49","5","217","308","30","21","15","6","27","0","26","3","76","98","3","65","8","0","0","0","0","8","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"adc63ec9e390456a520b41dcb5c56241939ea687","gov.nasa.arc.mct.services.component.ViewInfo","0","0","0","0","0","0","0","0","1","2","2","35","6","179","168","6","27","0.85","0.496032","125","122","17","3","0.490196","125","1","1","2","2","1","127","274","7","10","6","8","21","0","19","0","24","50","0","22","0","130","277","7","10","6","8","22","0","20","0","25","51","0","23","0","0","2","0","7","2","0","2","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","0","1","0","0","0"
"9c0bcefc5d92305651ce3e463cd49c952d6d9220","gov.nasa.arc.mct.services.component.ViewInfo","0","0","0","0","0","0","0","0","1","2","2","36","6","179","168","6","27","0.85","0.492126","125","122","17","3","0.486381","125","1","1","2","2","1","129","276","7","10","6","8","21","0","19","0","24","50","0","22","0","132","279","7","10","6","8","22","0","20","0","25","51","0","23","0","0","2","0","7","2","0","2","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","0","1","0","0","0"
