"Hash","LongName","McCC","CLOC","PDA","PUA","LLOC","LOC","Number of Bugs"
"63a02fc04e6ce45aee38b0437ae0279880e5fe40","codec-dns/src/main/java/io/netty/handler/codec/dns/package-info.java","1","0","0","0","1","21","0"
"8271c8afccf7eb21bf6f994b5f3565f6d55bdee4","codec-dns/src/main/java/io/netty/handler/codec/dns/package-info.java","1","0","0","0","1","22","0"
"591293bfb4f6a48a311d195303ce772fb801ec95","handler/src/main/java/io/netty/handler/ssl/Java7SslParametersUtils.java","1","0","0","0","10","36","0"
"afb46b926f9df6f1da91cbd011fa8f43d1566bb8","handler/src/main/java/io/netty/handler/ssl/JdkSslSession.java","1","0","0","0","109","153","0"
"b2399c2475db14c1038432129545845785a73563","transport-native-epoll/src/main/java/io/netty/channel/epoll/EpollRecvByteAllocatorHandle.java","1","0","0","0","12","32","1"
"6d80c641e92588a5317c0b9a9631918a521d52bc","resolver-dns/src/main/java/io/netty/resolver/dns/UniSequentialDnsServerAddressStreamProvider.java","1","0","0","0","12","35","0"
"075a54af3e607c20eeaf7809a2a08602abd5d735","transport-native-epoll/src/main/java/io/netty/channel/unix/ErrorsStaticallyReferencedJniMethods.java","1","0","0","0","12","42","0"
"c735b3e14762bdc45716371c11e65366ac1782f5","codec-http/src/main/java/io/netty/handler/codec/http/multipart/FileUploadUtil.java","1","0","0","0","13","34","0"
"8c8779669e1acdd8307e5faafb7ca9b378348831","common/src/main/java/io/netty/util/internal/logging/Log4J2Logger.java","1","0","0","0","130","181","1"
"075a54af3e607c20eeaf7809a2a08602abd5d735","transport-native-epoll/src/main/java/io/netty/channel/epoll/NativeStaticallyReferencedJniMethods.java","1","0","0","0","16","46","0"
"32231ee2e05e2979e4c76220945b99c6712fd582","transport-native-epoll/src/main/java/io/netty/channel/epoll/EpollRecvByteAllocatorHandle.java","1","0","0","0","19","41","0"
"31b319a5dc531d8c02c400d312ab9e85e90e614b","src/main/java/org/jboss/netty/channel/socket/nio/NioAcceptedSocketChannel.java","1","0","0","0","19","52","1"
"aab89b058e2e31fb50f5df98325dc40db61fbced","handler/src/test/java/io/netty/handler/ssl/Java8SslTestUtils.java","1","0","0","0","22","45","0"
"220d95fe0d396821f08329fffd96edc1b47c37c1","src/main/java/org/jboss/netty/channel/socket/nio/NioAcceptedSocketChannel.java","1","0","0","0","26","59","0"
"31b319a5dc531d8c02c400d312ab9e85e90e614b","src/main/java/org/jboss/netty/channel/socket/oio/OioClientSocketChannel.java","1","0","0","0","27","61","1"
"e7631867d30e26961e121ca05f5e3c078345984f","buffer/src/main/java/io/netty/buffer/PooledDuplicatedByteBuf.java","1","0","0","0","293","377","1"
"4bba7526e2f58018817972f38279cc232f519100","buffer/src/main/java/io/netty/buffer/PooledDuplicatedByteBuf.java","1","0","0","0","295","379","0"
"9125060752f5124949e55a6868647c75f88cdb01","handler/src/main/java/io/netty/handler/ssl/util/BouncyCastleSelfSignedCertGenerator.java","1","0","0","0","31","62","0"
"220d95fe0d396821f08329fffd96edc1b47c37c1","src/main/java/org/jboss/netty/channel/socket/oio/OioClientSocketChannel.java","1","0","0","0","33","67","0"
"6d80c641e92588a5317c0b9a9631918a521d52bc","resolver-dns/src/main/java/io/netty/resolver/dns/SingletonDnsServerAddresses.java","1","0","0","0","34","61","0"
"2a6ed67efc4ffb15647313b82e450a3951a6a3bd","testsuite/src/test/java/io/netty/testsuite/util/BogusTrustManagerFactory.java","1","0","0","0","35","70","1"
"afb46b926f9df6f1da91cbd011fa8f43d1566bb8","handler/src/main/java/io/netty/handler/ssl/ApplicationProtocolAccessor.java","1","0","0","0","4","25","0"
"9125060752f5124949e55a6868647c75f88cdb01","handler/src/main/java/io/netty/handler/ssl/util/OpenJdkSelfSignedCertGenerator.java","1","0","0","0","40","73","0"
"0b7bf49c165e682644a53279f75a44ba084201cd","handler/src/main/java/io/netty/handler/ssl/util/X509TrustManagerWrapper.java","1","0","0","0","46","74","0"
"1ef6f147349c145542d77c987f57e1dfbd405406","transport/src/test/java/io/netty/channel/BaseChannelTest.java","1","0","0","0","49","81","0"
"6873111d72599453a03493774ce28b175e61c821","codec-http/src/main/java/io/netty/handler/codec/http/ComposedLastHttpContent.java","1","0","0","0","57","87","0"
"9125060752f5124949e55a6868647c75f88cdb01","handler/src/main/java/io/netty/handler/ssl/util/ThreadLocalInsecureRandom.java","1","0","0","0","61","101","0"
"39250873ae7c3d8c1017db11b1f715838f2688f3","transport/src/main/java/io/netty/channel/embedded/EmbeddedEventLoop.java","1","0","0","0","83","119","0"
