"Hash","LongName","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Code Size Rules","Comment Rules","Controversial Rules","Coupling Rules","Design Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of Bugs"
"ae1bc4cafe55f8397f949d96e4e102fdaa7cf77d","org.antlr.v4.test.runtime.descriptors.LeftRecursionDescriptors","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","1","0.438776","430","0","0","0","0","0","2","170","0","0","0","0","0","0","0","0","0","0","0","0","0","550","1140","292","1170","291","0","0","291","0","0","1989","0","291","1872","117","0","0","0","2","50","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","0","0","2","0","0","0","0"
"d0620a65f5b147a91ae408d62818f1f5dc3aca4b","org.antlr.v4.test.runtime.descriptors.LeftRecursionDescriptors","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","1","0.44","429","0","0","0","0","0","2","168","0","0","0","0","0","0","0","0","0","0","0","0","0","546","1134","290","1160","289","0","0","289","0","0","1972","0","289","1856","116","0","0","0","2","50","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","0","0","2","0","0","0","1"
"1d066e0a6be25c01f5c25760c34d81c46636e12f","org.antlr.v4.test.runtime.descriptors.ParserErrorsDescriptors","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","1","0.419624","201","0","0","0","0","0","2","50","0","0","0","0","0","0","0","0","0","0","0","0","0","278","573","178","330","177","0","0","177","0","0","561","0","177","528","33","0","0","0","1","30","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","27","0","0","1","0","0","0","0"
"8af00801037d3b8933f29d0903daac3e9c05349e","org.antlr.v4.test.runtime.descriptors.LexerErrorsDescriptors","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","1","0.435644","88","0","0","0","0","0","2","19","0","0","0","0","0","0","0","0","0","0","0","0","0","114","240","67","140","66","0","0","66","0","0","238","0","66","224","14","0","0","0","0","4","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"9519bfc36fcab155a4c37fbb32e5e83e02d58a6f","org.antlr.v4.test.runtime.descriptors.LexerErrorsDescriptors","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","1","0.438424","89","0","0","0","0","0","2","19","0","0","0","0","0","0","0","0","0","0","0","0","0","114","241","67","140","66","0","0","66","0","0","238","0","66","224","14","0","0","0","0","4","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"1d066e0a6be25c01f5c25760c34d81c46636e12f","org.antlr.v4.test.runtime.descriptors.ParserExecDescriptors","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","1","0.552156","397","0","0","0","0","0","2","93","0","0","0","0","0","0","0","0","0","0","0","0","0","322","824","211","350","210","0","0","210","0","0","595","0","210","560","35","0","0","0","5","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","45","0","0","5","0","0","0","0"
"7c35979c2e69220b44f7459f3cb19f51435e7b74","org.antlr.v4.test.runtime.descriptors.SemPredEvalLexerDescriptors","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","1","0.594828","138","0","0","0","0","0","2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","94","261","49","80","48","0","6","48","6","0","142","6","48","134","8","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0"
"3cbc2af0cc1f1c97f518b11b74294fa9cce05078","org.antlr.v4.test.runtime.descriptors.ParseTreesDescriptors","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","1","0.62782","167","0","0","0","0","0","2","11","0","0","0","0","0","0","0","0","0","0","0","0","0","99","296","61","100","60","0","1","60","1","0","171","1","60","161","10","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0","0","0","0","0","0","0"
"661c87b47ceca09488c047acb638362670e3ded0","org.antlr.v4.test.runtime.descriptors.ParseTreesDescriptors","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","1","0.629956","143","0","0","0","0","0","2","10","0","0","0","0","0","0","0","0","0","0","0","0","0","84","254","55","90","54","0","0","54","0","0","153","0","54","144","9","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","0","0","0","0","0","0","1"
"1d066e0a6be25c01f5c25760c34d81c46636e12f","org.antlr.v4.test.runtime.descriptors.ParserExecDescriptors$ReferenceToATN_2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0.4375","7","7","0","1","0.4375","7","3","3","0","0","1","9","17","7","10","6","0","0","6","0","0","17","0","6","16","1","9","17","7","10","6","0","0","6","0","0","17","0","6","16","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"1d066e0a6be25c01f5c25760c34d81c46636e12f","org.antlr.v4.test.runtime.descriptors.ParserErrorsDescriptors$SingleTokenDeletionBeforeLoop","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0.444444","8","8","0","1","0.444444","8","3","3","0","0","1","10","21","7","10","6","0","0","6","0","0","17","0","6","16","1","10","21","7","10","6","0","0","6","0","0","17","0","6","16","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"1d066e0a6be25c01f5c25760c34d81c46636e12f","org.antlr.v4.test.runtime.descriptors.ParserErrorsDescriptors$SingleTokenDeletionBeforeLoop2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0.444444","8","8","0","1","0.444444","8","3","3","0","0","1","10","21","7","10","6","0","0","6","0","0","17","0","6","16","1","10","21","7","10","6","0","0","6","0","0","17","0","6","16","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
