"Hash","LongName","McCC","CLOC","PDA","PUA","LLOC","LOC","Number of Bugs"
"3764789d9641b37d78791b83b9293611261298ff","modules/lang-painless/src/main/java/org/elasticsearch/painless/node/package-info.java","1","0","0","0","1","131","1"
"ed74e53cf517330f10bdb943f05a55148e72a5de","modules/lang-painless/src/main/java/org/elasticsearch/painless/node/package-info.java","1","0","0","0","1","132","0"
"b49635539d929d6cb5ee56153e2f95872fe4bb16","modules/lang-painless/src/main/java/org/elasticsearch/painless/node/package-info.java","1","0","0","0","1","133","1"
"1424f09c02927d9caada7f6ea45285b411d88d12","modules/lang-painless/src/main/java/org/elasticsearch/painless/node/package-info.java","1","0","0","0","1","135","0"
"10ec2e948a2f1426a5058ca3b2c2e39952f141d8","src/main/java/org/elasticsearch/action/admin/indices/gateway/snapshot/package-info.java","1","0","0","0","1","24","0"
"25fd9e26c4fb042d6f6dea14efcd239577bdbbc4","core/src/main/java/org/elasticsearch/action/package-info.java","1","0","0","0","1","24","0"
"046abdc281c321cd2128ee7684c0edfcaca07203","core/src/test/java/org/elasticsearch/search/aggregations/package-info.java","1","0","0","0","1","25","2"
"aea00a62f3825e388e07007d3c8686f93c2d3f8e","core/src/main/java/org/elasticsearch/action/admin/indices/refresh/ShardRefreshResponse.java","1","0","0","0","10","36","1"
"aea00a62f3825e388e07007d3c8686f93c2d3f8e","core/src/main/java/org/elasticsearch/action/admin/indices/flush/ShardFlushResponse.java","1","0","0","0","10","37","1"
"aea00a62f3825e388e07007d3c8686f93c2d3f8e","core/src/main/java/org/elasticsearch/action/admin/indices/refresh/ShardRefreshRequest.java","1","0","0","0","10","38","1"
"25fd9e26c4fb042d6f6dea14efcd239577bdbbc4","client/sniffer/src/test/java/org/elasticsearch/client/sniff/MockHostsSniffer.java","1","0","0","0","11","37","0"
"56cc87b7ccd41040d8fafcaf2da3680d96d10839","client/sniffer/src/test/java/org/elasticsearch/client/sniff/MockHostsSniffer.java","1","0","0","0","11","37","0"
"1424f09c02927d9caada7f6ea45285b411d88d12","modules/lang-painless/src/main/java/org/elasticsearch/painless/Analyzer.java","1","0","0","0","11","38","0"
"6f996e9e26ae05440aa8d374d5cedcc3752ebfec","core/src/main/java/org/elasticsearch/tribe/TribeClientNode.java","1","0","0","0","12","38","0"
"b49635539d929d6cb5ee56153e2f95872fe4bb16","modules/lang-painless/src/main/java/org/elasticsearch/painless/Analyzer.java","1","0","0","0","12","39","1"
"2bd09c4625898d77aa6c015c6f82cf973ed18cb7","core/src/main/java/org/elasticsearch/action/search/AbstractAsyncAction.java","1","0","0","0","14","51","0"
"2bd09c4625898d77aa6c015c6f82cf973ed18cb7","core/src/main/java/org/elasticsearch/action/search/ScrollIdForNode.java","1","0","0","0","15","39","0"
"4b94eb5cb8cc4294ed0e932a5f22c16bd90d4dd7","core/src/main/java/org/elasticsearch/action/search/AbstractAsyncAction.java","1","0","0","0","15","53","2"
"860efb2ad28db09189c8423e05d0dba53010259c","core/src/main/java/org/elasticsearch/action/search/AbstractAsyncAction.java","1","0","0","0","15","53","2"
"889db1c824d8c573835e8cbadd0c6f3ba25f8fcd","src/test/java/org/elasticsearch/test/SettingsSource.java","1","0","0","0","16","45","1"
"371c73e14023917f3892090d2d3d7ff9ac1216b9","core/src/main/java/org/elasticsearch/common/RandomBasedUUIDGenerator.java","1","0","0","0","19","61","3"
"78574d248cf10dad1c5a566fda79e1e0c94afe43","core/src/main/java/org/elasticsearch/common/RandomBasedUUIDGenerator.java","1","0","0","0","19","61","2"
"12471c4f76636f837df363e55367c2fc5837ea75","client/rest/src/main/java/org/elasticsearch/client/HttpAsyncResponseConsumerFactory.java","1","0","0","0","19","66","2"
"3d13c27fa0df12018f35f1b20987c90277e9b6f9","core/src/main/java/org/elasticsearch/index/engine/DeleteVersionValue.java","1","0","0","0","21","49","1"
"e54dd688a1c5c78a2637b7ab264f6eabc0352985","src/main/java/org/elasticsearch/bootstrap/JNACLibrary.java","1","0","0","0","21","54","0"
"af119dfdd95667ea9d92de8e644448fbdc285b4f","src/main/java/org/elasticsearch/index/engine/internal/DeleteVersionValue.java","1","0","0","0","22","50","0"
"25fd9e26c4fb042d6f6dea14efcd239577bdbbc4","client/rest/src/test/java/org/elasticsearch/client/HostsTrackingFailureListener.java","1","0","0","0","22","51","0"
"56cc87b7ccd41040d8fafcaf2da3680d96d10839","client/rest/src/test/java/org/elasticsearch/client/HostsTrackingFailureListener.java","1","0","0","0","22","51","0"
"b5f86f6f0544a9ad9fa4ab88bf7397cf361d696a","core/src/main/java/org/elasticsearch/index/engine/DeleteVersionValue.java","1","0","0","0","22","52","0"
"371c73e14023917f3892090d2d3d7ff9ac1216b9","core/src/main/java/org/elasticsearch/action/search/ParsedScrollId.java","1","0","0","0","22","55","3"
"78574d248cf10dad1c5a566fda79e1e0c94afe43","core/src/main/java/org/elasticsearch/action/search/ParsedScrollId.java","1","0","0","0","22","55","2"
"149629fec657e9948488195087f30583cd561f11","core/src/main/java/org/elasticsearch/action/search/SearchActionListener.java","1","0","0","0","24","53","0"
"2ed1f7a3390420835f9b270d20c5d512ba197827","core/src/main/java/org/elasticsearch/action/search/SearchActionListener.java","1","0","0","0","24","54","1"
"952feb58e41bd0220784c44136b840ea4a740e26","core/src/main/java/org/elasticsearch/search/aggregations/bucket/terms/AbstractStringTermsAggregator.java","1","0","0","0","25","53","1"
"087a931cb2ecbae34c4fc87924400c9b6bbd8a41","core/src/main/java/org/elasticsearch/common/util/AbstractArray.java","1","0","0","0","25","54","1"
"e7d352b489272a87b05019869857656de7fb82fc","core/src/main/java/org/elasticsearch/search/aggregations/bucket/terms/AbstractStringTermsAggregator.java","1","0","0","0","26","54","0"
"3f06d9f3b8516bb30a2890a36c2973f08f9c6076","modules/lang-painless/src/main/java/org/elasticsearch/painless/node/ECast.java","1","0","0","0","26","59","0"
"aea00a62f3825e388e07007d3c8686f93c2d3f8e","core/src/main/java/org/elasticsearch/action/admin/indices/flush/ShardFlushRequest.java","1","0","0","0","28","60","1"
"1f04182b8164ffb19f3805c48d67f0375262b317","core/src/main/java/org/elasticsearch/action/admin/indices/upgrade/post/ShardUpgradeRequest.java","1","0","0","0","28","61","0"
