"Hash","LongName","McCC","CLOC","PDA","PUA","LLOC","LOC","Number of Bugs"
"59c4822d4ad5dfac4cecd11231280baa33d4aa35","hazelcast/src/main/java/com/hazelcast/queue/ListenerKey.java","1","0","0","0","0","50","1"
"59c4822d4ad5dfac4cecd11231280baa33d4aa35","hazelcast/src/main/java/com/hazelcast/collection/ListenerKey.java","1","0","0","0","0","60","1"
"04c204fcf1f1d07695eb4355106ffdc8e6bc9365","hazelcast/src/main/java/com/hazelcast/config/matcher/package-info.java","1","0","0","0","1","21","0"
"1b24dfd09e973a0a5ac02b1fd118a1acdf5987ba","hazelcast-wm/src/main/java/com/hazelcast/web/package-info.java","1","0","0","0","1","21","0"
"1c8aa690e6d64bbd003dceb14a511c66372f109f","hazelcast/src/main/java/com/hazelcast/cache/merge/package-info.java","1","0","0","0","1","21","0"
"2921cff694583b8638dae2991f427e61d5440a9d","hazelcast-client/src/main/java/com/hazelcast/client/internal/properties/package-info.java","1","0","0","0","1","21","0"
"2921cff694583b8638dae2991f427e61d5440a9d","hazelcast/src/main/java/com/hazelcast/internal/properties/package-info.java","1","0","0","0","1","21","0"
"a4035afdfc67b757940a15578bc51b4e7b6b0b13","hazelcast/src/main/java/com/hazelcast/client/impl/protocol/codec/package-info.java","1","0","0","0","1","21","0"
"a4035afdfc67b757940a15578bc51b4e7b6b0b13","hazelcast-client-new/src/main/java/com/hazelcast/client/proxy/txn/xa/package-info.java","1","0","0","0","1","21","0"
"a4035afdfc67b757940a15578bc51b4e7b6b0b13","hazelcast-client-new/src/main/java/com/hazelcast/client/proxy/txn/package-info.java","1","0","0","0","1","21","0"
"a476ebc118a4c2591a6901e9d093456450e8c205","hazelcast/src/main/java/com/hazelcast/collection/common/package-info.java","1","0","0","0","1","21","0"
"98b898503b40f5fd2d50677d8eb7d145a361ff50","hazelcast/src/main/java/com/hazelcast/jmx/suppliers/package-info.java","1","0","0","0","1","22","0"
"e3bcad88a48d45f99979e5ac55d6ef21ebb6a2d2","hazelcast-build-utils/src/main/java/com/hazelcast/buildutils/package-info.java","1","0","0","0","1","22","0"
"f5e7c554bb9da9143454ed807378dd2067ad2152","hazelcast/src/main/java/com/hazelcast/jmx/suppliers/package-info.java","1","0","0","0","1","22","0"
"37da3959df4151b304b211df87a6b900c0169cc5","hazelcast/src/main/java/com/hazelcast/spi/impl/operationexecutor/slowoperationdetector/package-info.java","1","0","0","0","1","23","0"
"2921cff694583b8638dae2991f427e61d5440a9d","hazelcast-client/src/main/java/com/hazelcast/client/internal/package-info.java","1","0","0","0","1","24","0"
"69975a8df84795d2fbd45e45b1d169e13fcbf0b1","hazelcast-wm/src/main/java/com/hazelcast/web/entryprocessor/package-info.java","1","0","0","0","1","25","0"
"a36ac6ede30616fc2b702bdd7d0d164df0888372","hazelcast-wm/src/main/java/com/hazelcast/web/package-info.java","1","0","0","0","1","51","0"
"b97e91fdb1ae20f2064c7fc49f2b24a6ac67f945","hazelcast-wm/src/main/java/com/hazelcast/web/spring/package-info.java","1","0","0","0","1","62","0"
"15ad63e930e2d564e6911025f5d234fd4144e345","hazelcast/src/main/java/com/hazelcast/map/MapServiceContextSupport.java","1","0","0","0","10","21","0"
"5dd3caeda2bb8c092bb4050230f55932e2439044","hazelcast/src/main/java/com/hazelcast/map/impl/MapServiceContextSupport.java","1","0","0","0","10","21","0"
"2709bc81cd499a3160827de24422cdb6cf98fe36","hazelcast-hibernate/hazelcast-hibernate4/src/main/java/com/hazelcast/hibernate/region/HazelcastQueryResultsRegion.java","1","0","0","0","10","33","1"
"77bf666fd9c23d8e896d84e6ea0f9df6179b2023","hazelcast-hibernate/hazelcast-hibernate4/src/main/java/com/hazelcast/hibernate/region/HazelcastQueryResultsRegion.java","1","0","0","0","10","35","0"
"0b99990c091b2e5235b2c7a72b4550327db4260c","hazelcast-client/src/test/java/com/hazelcast/client/map/ClientMapPartitionLostListenerTest.java","1","0","0","0","108","141","2"
"2e237d2c442305f51cdbea3740548e8bfb4401ac","hazelcast-client/src/test/java/com/hazelcast/client/map/ClientMapPartitionLostListenerTest.java","1","0","0","0","108","141","2"
"d2b04ec50716ff04b425207e70e8f35855ddccf5","hazelcast/src/main/java/com/hazelcast/cache/impl/record/CacheDataRecord.java","1","0","0","0","11","35","1"
